school_year,nces_school_id,nces_lea_id,school_name,district_name,lea_name,state,county_name,county_fips,latitude,longitude,distance_downtown_kc_miles,operational_status,is_operating,school_type,is_charter,grade_span,grade_span_low,grade_span_high,lowest_grade,highest_grade,locale_code_year,locale_desc_year,locale_group_year,locale_code,locale_desc,locale_group,virtual_status_desc,is_virtual,enrollment_total,enrollment_pk,enrollment_k12,enrollment_kg,has_pre_k,is_standalone_pk,classroom_teacher_fte,teacher_fte_valid,students_per_classroom_teacher_fte_allgrades,frl_eligible,frl_rate,frl_observed,analytical_stratum,years_observed_count,years_operating_count,first_observed_school_year,last_observed_school_year,balanced_panel_eligible,grade_span_changed_any,lea_changed_any,school_type_changed_any,locale_changed_any,locale_code_fixed_2024_2025,locale_group_fixed_2024_2025,school_level
2014-2015,200405000032,2004050,Edwardsville Elem,Bonner Springs,Bonner Springs,KS,Wyandotte County,20209,39.067502,-94.820279,13.22,1,True,Regular School,False,PK-05,PK,05,PK,05,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,404.0,0.0,404.0,61.0,False,False,28.6,True,14.13,260.0,0.6436,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,21,Suburb,Primary
2014-2015,200405001827,2004050,Delaware Ridge Elementary,Bonner Springs,Bonner Springs,KS,Wyandotte County,20209,39.120732,-94.879542,16.22,1,True,Regular School,False,PK-05,PK,05,PK,05,12,City: Midsize,City,12,City: Midsize,City,Not reported,False,365.0,0.0,365.0,62.0,False,False,24.3,True,15.02,200.0,0.5479,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,12,City,Primary
2014-2015,200549000127,2005490,De Soto  High  School,De Soto,De Soto,KS,Johnson County,20091,38.965297,-94.986367,23.89,1,True,Regular School,False,09-12,09,12,09,12,41,Rural: Fringe,Rural,41,Rural: Fringe,Rural,Not reported,False,741.0,0.0,741.0,0.0,False,False,53.4,True,13.88,166.0,0.224,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,41,Rural,High
2014-2015,200549000898,2005490,Monticello Trails Middle School,De Soto,De Soto,KS,Johnson County,20091,39.017655,-94.841145,15.3,1,True,Regular School,False,06-08,06,08,06,08,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,763.0,0.0,763.0,0.0,False,False,45.6,True,16.73,70.0,0.0917,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,21,Suburb,Middle
2014-2015,200549000906,2005490,Lexington Trails Middle School,De Soto,De Soto,KS,Johnson County,20091,38.968757,-94.98417,23.69,1,True,Regular School,False,06-08,06,08,06,08,41,Rural: Fringe,Rural,41,Rural: Fringe,Rural,Not reported,False,323.0,0.0,323.0,0.0,False,False,29.7,True,10.88,123.0,0.3808,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,41,Rural,Middle
2014-2015,200549001457,2005490,Clear Creek Elem,De Soto,De Soto,KS,Johnson County,20091,39.021383,-94.84506,15.39,1,True,Regular School,False,KG-05,KG,05,KG,05,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,496.0,0.0,496.0,74.0,False,False,33.2,True,14.94,45.0,0.0907,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,21,Suburb,Primary
2014-2015,200549001462,2005490,Starside Elem,De Soto,De Soto,KS,Johnson County,20091,38.964798,-94.990986,24.13,1,True,Regular School,False,PK-05,PK,05,PK,05,41,Rural: Fringe,Rural,41,Rural: Fringe,Rural,Not reported,False,425.0,24.0,401.0,60.0,True,False,37.7,True,11.27,243.0,0.5718,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,False,False,False,False,41,Rural,Primary
2014-2015,200549001717,2005490,Riverview Elementary,De Soto,De Soto,KS,Johnson County,20091,39.044679,-94.836091,14.42,1,True,Regular School,False,KG-05,KG,05,KG,05,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,442.0,0.0,442.0,53.0,False,False,29.7,True,14.88,37.0,0.0837,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,21,Suburb,Primary
2014-2015,200549001723,2005490,Mill Valley High School,De Soto,De Soto,KS,Johnson County,20091,39.020537,-94.840761,15.2,1,True,Regular School,False,09-12,09,12,09,12,21,Suburb: Large,Suburb,21,Suburb: Large,Suburb,Not reported,False,1303.0,0.0,1303.0,0.0,False,False,84.6,True,15.4,123.0,0.0944,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,21,Suburb,High
2014-2015,200549001724,2005490,Mize Elementary School,De Soto,De Soto,KS,Johnson County,20091,38.995612,-94.879948,17.82,1,True,Regular School,False,KG-05,KG,05,KG,05,41,Rural: Fringe,Rural,41,Rural: Fringe,Rural,Not reported,False,394.0,0.0,394.0,55.0,False,False,27.6,True,14.28,27.0,0.0685,True,Operating Regular (NCES),11,11,2014-2015,2024-2025,True,True,False,False,False,41,Rural,Primary
