school_year,nces_lea_id,district_name,lea_name,state,county_primary,operating_schools_count,regular_schools_count,enrollment_total,enrollment_pk,enrollment_k12,enrollment_kg,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_reported_fte,teachers_k12_fte,teachers_k12_fte_components,teachers_sum_diff_reported,paraprofessionals_fte,instructional_coordinators_fte,counselors_fte,psychologists_fte,student_support_staff_fte,librarians_fte,school_administrators_fte,school_admin_support_fte,lea_administrators_fte,lea_admin_support_fte,other_support_staff_fte,total_staff_fte,teacher_k12_valid,students_per_teacher_fte_k12,students_per_teacher_para_fte_k12,teachers_k12_per_1000,paraprofessionals_per_1000,counselors_per_1000,school_administrators_per_1000,lea_total_operating_schools_national,lea_operating_schools_in_region,lea_operating_schools_outside_region,lea_geographic_coverage_share,lea_fully_within_region
2014-2015,2000018,School for Blind,School for Blind,KS,Wyandotte County,2,0,32,0,32,2,1.0,3.1,1.0,11.7,,16.8,15.8,15.8,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,,0.4,,0.0,18.2,True,2.03,2.03,493.75,0.0,0.0,0.0,2,2,0,1.0,True
2014-2015,2000019,School for Deaf,School for Deaf,KS,Johnson County,2,0,96,10,86,4,3.0,4.0,8.0,14.2,,29.2,26.2,26.2,0.0,0.0,5.0,0.0,,1.0,1.0,2.0,,1.6,,0.0,39.8,True,3.28,3.28,304.65,0.0,0.0,23.26,2,2,0,1.0,True
2014-2015,2000025,KS. State Penitentiary,KS. State Penitentiary,KS,Leavenworth County,1,1,0,0,0,0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,True,,,,,,,1,1,0,1.0,True
2014-2015,2003780,Basehor-Linwood,Basehor-Linwood,KS,Leavenworth County,5,5,2414,21,2393,176,2.0,26.0,56.0,79.1,,163.1,161.1,161.1,0.0,30.6,0.0,5.0,,13.4,0.0,9.9,,3.0,,52.2,277.2,True,14.85,12.48,67.32,12.79,2.09,4.14,5,5,0,1.0,True
2014-2015,2004050,Bonner Springs,Bonner Springs,KS,Wyandotte County,5,5,2660,62,2598,205,3.0,51.2,49.0,94.6,,197.8,194.8,194.8,0.0,24.8,6.7,7.0,,18.5,2.0,10.3,,1.0,,52.0,320.1,True,13.34,11.83,74.98,9.55,2.69,3.96,5,5,0,1.0,True
2014-2015,2005490,De Soto,De Soto,KS,Johnson County,12,12,7089,145,6944,480,6.0,103.0,134.5,256.3,,499.8,493.8,493.8,0.0,84.2,8.0,17.4,,55.5,5.0,26.0,,2.0,,103.9,801.8,True,14.06,12.01,71.11,12.13,2.51,3.74,12,12,0,1.0,True
2014-2015,2005640,Easton,Easton,KS,Leavenworth County,3,3,639,10,629,37,0.1,13.4,10.4,35.9,,59.8,59.7,59.7,0.0,0.8,1.0,2.0,,6.5,0.0,4.1,,1.0,,16.0,91.2,True,10.54,10.4,94.91,1.27,3.18,6.52,3,3,0,1.0,True
2014-2015,2006330,Ft Leavenworth,Ft Leavenworth,KS,Leavenworth County,4,4,1769,25,1744,229,2.0,35.8,65.0,24.5,,127.3,125.3,125.3,0.0,28.7,4.0,4.0,,19.6,4.0,6.0,,3.7,,41.8,239.1,True,13.92,11.32,71.85,16.46,2.29,3.44,4,4,0,1.0,True
2014-2015,2006420,Gardner Edgerton,Gardner Edgerton,KS,Johnson County,11,11,5730,214,5516,467,9.6,91.4,93.5,186.1,,380.6,371.0,371.0,0.0,95.2,3.8,12.5,,41.8,10.6,22.0,,2.0,,84.8,653.3,True,14.87,11.83,67.26,17.26,2.27,3.99,11,11,0,1.0,True
2014-2015,2007950,Kansas City,Kansas City,KS,Wyandotte County,43,43,22129,971,21158,1875,86.5,222.6,483.3,685.7,,1478.1,1391.6,1391.6,0.0,292.0,106.9,52.6,,210.9,28.0,93.7,,4.0,,764.0,3030.2,True,15.2,12.57,65.77,13.8,2.49,4.43,43,43,0,1.0,True
2014-2015,2008250,Prairie View,Prairie View,KS,Miami County,0,0,934,54,880,56,1.0,13.6,25.4,42.8,,82.8,81.8,81.8,0.0,10.2,1.0,2.0,,8.7,1.0,5.0,,1.0,,28.9,140.6,True,10.76,9.57,92.95,11.59,2.27,5.68,4,0,4,0.0,False
2014-2015,2008340,Lansing,Lansing,KS,Leavenworth County,3,3,2503,0,2503,164,3.0,32.5,47.0,111.1,,193.6,190.6,190.6,0.0,66.0,0.0,4.0,,21.4,3.0,8.0,,3.0,,44.3,343.3,True,13.13,9.75,76.15,26.37,1.6,3.2,3,3,0,1.0,True
2014-2015,2008430,Leavenworth,Leavenworth,KS,Leavenworth County,7,7,3905,183,3722,281,10.0,53.1,77.7,132.1,,272.9,262.9,262.9,0.0,91.0,5.0,8.0,,62.0,5.0,19.0,,3.0,,110.0,575.9,True,14.16,10.52,70.63,24.45,2.15,5.1,7,7,0,1.0,True
2014-2015,2008970,Louisburg,Louisburg,KS,Miami County,5,5,1786,88,1698,117,2.0,18.1,34.5,62.3,,116.9,114.9,114.9,0.0,15.9,1.0,2.0,,9.0,2.0,5.0,,2.0,,34.6,188.4,True,14.78,12.98,67.67,9.36,1.18,2.94,5,5,0,1.0,True
2014-2015,2010140,Olathe,Olathe,KS,Johnson County,48,48,29296,857,28439,2115,81.0,374.2,564.9,1000.9,,2021.0,1940.0,1940.0,0.0,650.7,31.9,56.0,,293.5,36.1,90.0,,9.0,,484.7,3672.9,True,14.66,10.98,68.22,22.88,1.97,3.16,48,48,0,1.0,True
2014-2015,2010260,Osawatomie,Osawatomie,KS,Miami County,4,4,1281,110,1171,93,4.0,11.0,21.5,45.0,,81.5,77.5,77.5,0.0,2.0,4.8,2.0,,8.5,2.6,6.0,,1.0,,53.0,161.4,True,15.11,14.73,66.18,1.71,1.71,5.12,4,4,0,1.0,True
2014-2015,2010500,Paola,Paola,KS,Miami County,4,4,2025,49,1976,160,1.0,36.5,41.0,83.6,,162.1,161.1,161.1,0.0,248.0,0.0,2.0,,16.0,2.9,8.0,,4.0,,38.0,481.0,True,12.27,4.83,81.53,125.51,1.01,4.05,4,4,0,1.0,True
2014-2015,2010680,Piper-Kansas City,Piper-Kansas City,KS,Wyandotte County,4,4,2052,87,1965,166,4.1,18.4,35.3,61.0,,118.8,114.7,114.7,0.0,9.5,1.0,4.0,,8.5,2.0,7.0,,1.0,,35.2,187.0,True,17.13,15.82,58.37,4.83,2.04,3.56,4,4,0,1.0,True
2014-2015,2011640,Shawnee Mission Pub Sch,Shawnee Mission Pub Sch,KS,Johnson County,43,43,27470,372,27098,2113,25.5,400.4,580.0,737.6,,1743.5,1718.0,1718.0,0.0,360.5,27.6,35.5,,208.0,37.5,68.0,,5.0,,443.5,2929.1,True,15.77,13.04,63.4,13.3,1.31,2.51,43,43,0,1.0,True
2014-2015,2011850,Spring Hill,Spring Hill,KS,Johnson County,7,7,3349,92,3257,223,5.0,37.3,54.7,108.2,,205.2,200.2,200.2,0.0,76.2,4.0,7.0,,25.3,4.0,10.0,,4.0,,55.2,390.9,True,16.27,11.78,61.47,23.4,2.15,3.07,7,7,0,1.0,True
2014-2015,2012000,Blue Valley,Blue Valley,KS,Johnson County,34,34,22398,516,21882,1380,26.8,284.2,355.8,786.5,,1453.3,1426.5,1426.5,0.0,401.8,35.8,59.5,,214.4,39.0,66.0,,6.0,,354.4,2630.2,True,15.34,11.97,65.19,18.36,2.72,3.02,34,34,0,1.0,True
2014-2015,2012210,Tonganoxie,Tonganoxie,KS,Leavenworth County,3,3,1985,26,1959,126,1.5,24.9,48.5,85.0,,159.9,158.4,158.4,0.0,46.0,0.0,4.0,,9.8,2.0,6.5,,2.5,,74.0,304.7,True,12.37,9.58,80.86,23.48,2.04,3.32,3,3,0,1.0,True
2014-2015,2012360,Turner-Kansas City,Turner-Kansas City,KS,Wyandotte County,7,7,4222,187,4035,319,4.0,44.0,82.4,130.9,,261.3,257.3,257.3,0.0,67.7,11.0,10.0,,36.6,3.0,16.0,,5.0,,106.9,517.5,True,15.68,12.42,63.77,16.78,2.48,3.97,7,7,0,1.0,True
2014-2015,2900009,DIVISION OF YOUTH SERVICE,DIVISION OF YOUTH SERVICE,MO,Clay County,5,4,748,0,748,0,0.0,,0.0,118.5,,118.5,118.5,118.5,0.0,0.0,6.0,0.0,,0.0,0.0,0.0,,1.0,,0.0,125.5,True,6.31,6.31,158.42,0.0,0.0,0.0,42,5,37,0.119,False
2014-2015,2900011,B. BANNEKER ACADEMY,B. BANNEKER ACADEMY,MO,Jackson County,1,1,349,20,329,42,1.0,2.28,20.72,,,24.0,23.0,23.0,0.0,6.5,0.0,0.0,,2.0,0.0,2.0,,0.0,,8.0,42.5,True,14.3,11.15,69.91,19.76,0.0,6.08,1,1,0,1.0,True
2014-2015,2900013,DELLA LAMB ELEM.,DELLA LAMB ELEM.,MO,Jackson County,1,1,604,0,604,71,0.0,9.11,47.89,,,57.0,57.0,57.0,0.0,2.0,1.0,0.0,,20.5,0.0,1.0,,1.0,,11.0,93.5,True,10.6,10.24,94.37,3.31,0.0,1.66,1,1,0,1.0,True
2014-2015,2900014,HOGAN PREPARATORY ACADEMY,HOGAN PREPARATORY ACADEMY,MO,Jackson County,3,3,1034,0,1034,38,0.0,2.33,20.27,63.56,,86.16,86.16,86.16,0.0,6.0,3.05,1.99,,6.57,2.93,5.99,,1.0,,5.24,118.93,True,12.0,11.22,83.33,5.8,1.92,5.79,3,3,0,1.0,True
2014-2015,2900015,GORDON PARKS ELEM.,GORDON PARKS ELEM.,MO,Jackson County,1,1,126,0,126,49,0.0,4.62,13.13,,,17.75,17.75,17.75,0.0,2.0,1.35,0.0,,2.0,0.9,1.0,,0.0,,3.0,28.0,True,7.1,6.38,140.87,15.87,0.0,7.94,1,1,0,1.0,True
2014-2015,2900016,GENESIS SCHOOL INC.,GENESIS SCHOOL INC.,MO,Jackson County,1,1,271,0,271,38,0.0,1.0,0.0,18.0,,19.0,19.0,19.0,0.0,7.0,1.0,0.0,,11.0,1.0,1.0,,1.0,,2.0,43.0,True,14.26,10.42,70.11,25.83,0.0,3.69,1,1,0,1.0,True
2014-2015,2900017,ACADEMIE LAFAYETTE,ACADEMIE LAFAYETTE,MO,Jackson County,2,2,871,0,871,120,0.0,6.9,54.8,,,61.7,61.7,61.7,0.0,3.9,2.0,0.0,,3.8,1.8,2.0,,0.2,,1.0,76.4,True,14.12,13.28,70.84,4.48,0.0,2.3,2,2,0,1.0,True
2014-2015,2900019,SCUOLA VITA NUOVA,SCUOLA VITA NUOVA,MO,Jackson County,1,1,200,0,200,23,0.0,2.74,16.66,,,19.4,19.4,19.4,0.0,0.0,0.0,1.0,,0.6,0.0,2.0,,0.0,,2.0,25.0,True,10.31,10.31,97.0,0.0,5.0,10.0,1,1,0,1.0,True
2014-2015,2900022,MO SCHLS FOR THE SEV DISABLED,MO SCHLS FOR THE SEV DISABLED,MO,Jackson County,5,0,865,0,865,21,0.0,1.0,176.0,0.0,,177.0,177.0,177.0,0.0,306.6,0.0,0.0,,0.0,0.0,22.4,,2.0,,0.0,508.0,True,4.89,1.79,204.62,354.45,0.0,25.9,35,5,30,0.1429,False
2014-2015,2900024,BROOKSIDE CHARTER SCH.,BROOKSIDE CHARTER SCH.,MO,Jackson County,2,2,568,0,568,68,0.0,4.14,23.38,15.48,,43.0,43.0,43.0,0.0,0.0,0.1,0.0,,4.5,1.0,3.9,,2.0,,0.0,54.5,True,13.21,13.21,75.7,0.0,0.0,6.87,2,2,0,1.0,True
2014-2015,2900025,ALLEN VILLAGE,ALLEN VILLAGE,MO,Jackson County,2,2,639,0,639,35,0.0,2.21,28.42,10.1,,40.73,40.73,40.73,0.0,12.0,2.5,1.25,,1.0,0.0,2.25,,0.0,,7.0,66.73,True,15.69,12.12,63.74,18.78,1.96,3.52,2,2,0,1.0,True
2014-2015,2900027,UNIVERSITY ACADEMY,UNIVERSITY ACADEMY,MO,Jackson County,3,3,1001,0,1001,135,0.0,8.28,32.97,33.25,,74.5,74.5,74.5,0.0,6.0,0.0,4.0,,4.0,2.0,7.0,,1.0,,130.0,228.5,True,13.44,12.43,74.43,5.99,4.0,6.99,3,3,0,1.0,True
2014-2015,2900028,LEE A. TOLBERT COM. ACADEMY,LEE A. TOLBERT COM. ACADEMY,MO,Jackson County,1,1,514,0,514,77,0.0,5.51,32.1,,,37.61,37.61,37.61,0.0,9.0,2.28,0.0,,2.0,0.0,3.0,,0.0,,5.0,58.89,True,13.67,11.03,73.17,17.51,0.0,5.84,1,1,0,1.0,True
2014-2015,2900029,ALTA VISTA CHARTER SCH.,ALTA VISTA CHARTER SCH.,MO,Jackson County,3,3,711,0,711,75,0.0,4.0,14.0,47.0,,65.0,65.0,65.0,0.0,0.0,2.0,3.0,,10.0,0.0,4.0,,1.0,,0.0,85.0,True,10.94,10.94,91.42,0.0,4.22,5.63,3,3,0,1.0,True
2014-2015,2900031,KIPP: ENDEAVOR ACADEMY,KIPP: ENDEAVOR ACADEMY,MO,Jackson County,1,1,282,0,282,0,0.0,,0.0,24.62,,24.62,24.62,24.62,0.0,0.0,2.88,0.5,,0.0,0.0,1.0,,0.0,,0.0,29.0,True,11.45,11.45,87.3,0.0,1.77,3.55,1,1,0,1.0,True
2014-2015,2900587,PATHWAY ACADEMY,PATHWAY ACADEMY,MO,Jackson County,1,1,434,0,434,64,0.0,2.99,24.51,,,27.5,27.5,27.5,0.0,4.0,0.5,1.0,,2.0,0.0,1.0,,0.0,,1.5,37.5,True,15.78,13.78,63.36,9.22,2.3,2.3,1,1,0,1.0,True
2014-2015,2900590,FRONTIER SCHOOL OF INNOVATION,FRONTIER SCHOOL OF INNOVATION,MO,Jackson County,5,5,1262,0,1262,115,0.0,5.85,33.45,51.4,,90.7,90.7,90.7,0.0,0.0,1.9,0.0,,5.0,0.0,13.4,,1.0,,4.0,116.0,True,13.91,13.91,71.87,0.0,0.0,10.62,5,5,0,1.0,True
2014-2015,2900593,DELASALLE CHARTER SCHOOL,DELASALLE CHARTER SCHOOL,MO,Jackson County,1,1,299,0,299,0,0.0,,,20.0,,20.0,20.0,20.0,0.0,1.0,4.0,6.0,,5.5,0.0,0.0,,1.0,,2.0,39.5,True,14.95,14.24,66.89,3.34,20.07,0.0,1,1,0,1.0,True
2014-2015,2900597,EWING MARION KAUFFMAN SCHOOL,EWING MARION KAUFFMAN SCHOOL,MO,Jackson County,1,1,532,0,532,0,0.0,,0.0,45.25,,45.25,45.25,45.25,0.0,3.0,4.75,0.0,,2.0,0.0,3.0,,0.0,,0.0,58.0,True,11.76,11.03,85.06,5.64,0.0,5.64,1,1,0,1.0,True
2014-2015,2900601,HOPE LEADERSHIP ACADEMY,HOPE LEADERSHIP ACADEMY,MO,Jackson County,1,1,138,0,138,25,0.0,1.0,8.7,,,9.7,9.7,9.7,0.0,1.5,0.0,1.0,,0.0,0.0,1.0,,0.0,,1.0,14.2,True,14.23,12.32,70.29,10.87,7.25,7.25,1,1,0,1.0,True
2014-2015,2900603,CROSSROADS ACAD OF KANSAS CITY,CROSSROADS ACAD OF KANSAS CITY,MO,Jackson County,1,1,280,0,280,48,0.0,5.21,16.39,,,21.6,21.6,21.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,21.6,True,12.96,12.96,77.14,0.0,0.0,0.0,1,1,0,1.0,True
2014-2015,2900604,ACADEMY FOR INTEGRATED ARTS,ACADEMY FOR INTEGRATED ARTS,MO,Jackson County,1,1,88,0,88,17,0.0,1.0,5.0,,,6.0,6.0,6.0,0.0,2.55,0.0,0.7,,0.0,0.0,1.0,,0.0,,1.0,11.25,True,14.67,10.29,68.18,28.98,7.95,11.36,1,1,0,1.0,True
2014-2015,2903200,ARCHIE R-V,ARCHIE R-V,MO,Cass County,2,2,544,5,539,41,1.23,2.16,15.43,27.16,,45.98,44.75,44.75,0.0,7.74,0.25,0.83,,2.14,0.56,2.0,,1.0,,7.0,67.5,True,12.04,10.27,83.02,14.36,1.54,3.71,2,2,0,1.0,True
2014-2015,2904620,BELTON 124,BELTON 124,MO,Cass County,9,8,4971,282,4689,358,13.67,20.91,153.59,123.68,,311.85,298.18,298.18,0.0,67.0,8.73,13.0,,23.93,6.94,14.1,,5.0,,81.11,531.66,True,15.73,12.84,63.59,14.29,2.77,3.01,9,9,0,1.0,True
2014-2015,2905310,BLUE SPRINGS R-IV,BLUE SPRINGS R-IV,MO,Jackson County,22,21,14466,181,14285,1005,19.72,59.61,354.69,464.18,,898.2,878.48,878.48,0.0,147.5,17.5,36.0,,59.3,11.72,48.0,,6.0,,155.0,1379.22,True,16.26,13.92,61.5,10.33,2.52,3.36,22,22,0,1.0,True
2014-2015,2908250,CENTER 58,CENTER 58,MO,Jackson County,8,6,2637,205,2432,242,9.47,11.0,86.14,114.5,,221.11,211.64,211.64,-0.0,42.0,9.08,6.84,,28.15,4.0,10.8,,1.0,,81.2,404.18,True,11.49,9.59,87.02,17.27,2.81,4.44,8,8,0,1.0,True
2014-2015,2910320,SHERWOOD CASS R-VIII,SHERWOOD CASS R-VIII,MO,Cass County,3,3,819,30,789,49,2.72,0.5,26.5,35.18,,64.9,62.18,62.18,0.0,14.0,2.0,3.0,,3.28,1.75,3.0,,1.0,,23.0,115.93,True,12.69,10.36,78.81,17.74,3.8,3.8,3,3,0,1.0,True
2014-2015,2911070,DREXEL R-IV,DREXEL R-IV,MO,Cass County,2,2,336,10,326,21,1.0,1.0,9.0,18.18,,29.18,28.18,28.18,0.0,4.0,0.0,0.85,,2.25,1.0,2.0,,1.0,,0.0,40.28,True,11.57,10.13,86.44,12.27,2.61,6.13,2,2,0,1.0,True
2014-2015,2911160,EAST LYNNE 40,EAST LYNNE 40,MO,Cass County,1,1,206,21,185,13,1.0,1.25,12.35,0.0,,14.6,13.6,13.6,0.0,4.0,0.0,0.0,,0.0,0.0,0.0,,1.0,,3.0,22.6,True,13.6,10.51,73.51,21.62,0.0,0.0,1,1,0,1.0,True
2014-2015,2911650,EXCELSIOR SPRINGS 40,EXCELSIOR SPRINGS 40,MO,Clay County,7,5,2872,97,2775,190,6.0,11.32,75.93,130.94,,224.19,218.19,218.19,0.0,33.04,12.0,7.0,,17.23,4.0,10.0,,4.0,,48.5,359.96,True,12.72,11.05,78.63,11.91,2.52,3.6,7,7,0,1.0,True
2014-2015,2912290,FORT OSAGE R-I,FORT OSAGE R-I,MO,Jackson County,12,8,5092,112,4980,414,8.2,25.36,154.54,150.9,,339.0,330.8,330.8,0.0,94.18,9.1,14.0,,20.45,13.0,13.9,,6.75,,200.18,710.56,True,15.05,11.72,66.43,18.91,2.81,2.79,12,12,0,1.0,True
2014-2015,2913080,GRAIN VALLEY R-V,GRAIN VALLEY R-V,MO,Jackson County,8,7,4023,68,3955,318,6.94,18.8,109.68,134.58,,270.0,263.06,263.06,0.0,69.28,5.0,10.0,,20.8,7.0,11.0,,3.0,,135.0,531.08,True,15.03,11.9,66.51,17.52,2.53,2.78,8,8,0,1.0,True
2014-2015,2913140,GRANDVIEW C-4,GRANDVIEW C-4,MO,Jackson County,9,8,4363,131,4232,371,5.0,20.83,139.97,116.71,,282.51,277.51,277.51,0.0,41.24,8.0,12.98,,12.06,7.99,16.0,,4.0,,0.0,384.78,True,15.25,13.28,65.57,9.74,3.07,3.78,9,9,0,1.0,True
2014-2015,2913680,HARDIN-CENTRAL C-2,HARDIN-CENTRAL C-2,MO,Ray County,2,2,236,19,217,22,0.24,1.18,10.71,11.2,,23.33,23.09,23.09,0.0,4.81,0.0,0.47,,1.19,1.0,1.83,,0.87,,4.0,37.5,True,9.4,7.78,106.41,22.17,2.17,8.43,2,2,0,1.0,True
2014-2015,2913760,HARRISONVILLE R-IX,HARRISONVILLE R-IX,MO,Cass County,7,5,2609,152,2457,166,2.85,9.75,63.8,111.11,,187.51,184.66,184.66,0.0,26.4,5.5,8.52,,11.4,3.86,8.5,,5.0,,116.0,372.69,True,13.31,11.64,75.16,10.74,3.47,3.46,7,7,0,1.0,True
2014-2015,2914340,HICKMAN MILLS C-1,HICKMAN MILLS C-1,MO,Jackson County,15,14,6739,495,6244,571,40.5,38.06,229.23,191.84,,499.63,459.13,459.13,0.0,102.79,7.1,15.0,,38.5,14.0,23.64,,3.5,,230.0,934.16,True,13.6,11.11,73.53,16.46,2.4,3.79,15,15,0,1.0,True
2014-2015,2915480,INDEPENDENCE 30,INDEPENDENCE 30,MO,Jackson County,30,27,15065,759,14306,1221,17.0,63.13,371.87,430.33,,882.33,865.33,865.33,0.0,117.47,25.0,33.1,,103.39,20.0,50.0,,7.0,,916.0,2154.29,True,16.53,14.56,60.49,8.21,2.31,3.5,30,30,0,1.0,True
2014-2015,2916400,KANSAS CITY 33,KANSAS CITY 33,MO,Jackson County,37,35,15386,1038,14348,1468,63.0,85.48,548.94,398.63,,1096.05,1033.05,1033.05,0.0,249.05,21.0,49.0,,137.65,24.0,67.5,,6.0,,651.0,2301.25,True,13.89,11.19,72.0,17.36,3.42,4.7,37,37,0,1.0,True
2014-2015,2916450,KEARNEY R-I,KEARNEY R-I,MO,Clay County,7,7,3501,0,3501,234,3.0,13.0,97.25,123.61,,236.86,233.86,233.86,0.0,44.73,2.5,8.0,,15.28,7.0,11.0,,4.0,,121.67,451.04,True,14.97,12.57,66.8,12.78,2.29,3.14,7,7,0,1.0,True
2014-2015,2918220,LAWSON R-XIV,LAWSON R-XIV,MO,Ray County,3,3,1148,0,1148,77,0.94,5.97,25.36,49.45,,81.72,80.78,80.78,0.0,6.44,0.5,3.0,,4.0,3.5,5.5,,1.0,,13.5,119.16,True,14.21,13.16,70.37,5.61,2.61,4.79,3,3,0,1.0,True
2014-2015,2918300,LEE'S SUMMIT R-VII,LEE'S SUMMIT R-VII,MO,Jackson County,27,25,17848,259,17589,1237,25.2,60.74,508.09,583.3,,1177.33,1152.13,1152.13,0.0,205.6,21.5,39.0,,129.41,18.5,53.5,,6.0,,783.98,2434.82,True,15.27,12.95,65.5,11.69,2.22,3.04,27,27,0,1.0,True
2014-2015,2918540,LIBERTY 53,LIBERTY 53,MO,Clay County,20,17,12009,253,11756,873,21.4,47.32,316.76,378.01,,763.49,742.09,742.09,0.0,125.62,12.2,29.6,,54.81,13.7,34.1,,3.5,,643.23,1680.25,True,15.84,13.55,63.12,10.69,2.52,2.9,20,20,0,1.0,True
2014-2015,2919230,LONE JACK C-6,LONE JACK C-6,MO,Jackson County,2,2,604,40,564,42,1.06,2.19,19.19,22.29,,44.73,43.67,43.67,0.0,12.27,1.0,2.0,,2.3,1.0,2.0,,1.0,,11.0,77.3,True,12.92,10.08,77.43,21.76,3.55,3.55,2,2,0,1.0,True
2014-2015,2921060,MISSOURI CITY 56,MISSOURI CITY 56,MO,Clay County,1,1,39,0,39,5,0.0,0.37,3.38,0.0,,3.75,3.75,3.75,0.0,0.0,0.0,0.2,,0.0,0.2,0.45,,0.0,,1.1,5.7,True,10.4,10.4,96.15,0.0,5.13,11.54,1,1,0,1.0,True
2014-2015,2922800,NORTH KANSAS CITY 74,NORTH KANSAS CITY 74,MO,Clay County,32,30,19862,600,19262,1494,33.5,69.42,487.24,674.25,,1264.41,1230.91,1230.91,0.0,133.0,15.0,49.5,,74.67,27.93,53.35,,6.5,,1069.54,2693.9,True,15.65,14.12,63.9,6.9,2.57,2.77,32,32,0,1.0,True
2014-2015,2922830,NORTH PLATTE CO. R-I,NORTH PLATTE CO. R-I,MO,Platte County,5,4,607,5,602,42,1.0,3.41,22.95,27.26,,54.62,53.62,53.62,0.0,7.9,1.59,2.0,,1.53,2.0,2.59,,1.0,,9.0,82.23,True,11.23,9.79,89.07,13.12,3.32,4.3,5,5,0,1.0,True
2014-2015,2923010,OAK GROVE R-VI,OAK GROVE R-VI,MO,Jackson County,4,4,2003,34,1969,135,3.7,7.0,51.0,78.73,,140.43,136.73,136.73,-0.0,22.0,2.29,5.0,,11.57,4.0,6.0,,2.0,,0.68,193.97,True,14.4,12.4,69.44,11.17,2.54,3.05,4,4,0,1.0,True
2014-2015,2923220,ORRICK R-XI,ORRICK R-XI,MO,Ray County,2,2,349,20,329,21,1.0,2.06,13.16,12.92,,29.14,28.14,28.14,0.0,6.0,0.43,1.43,,0.65,0.0,2.0,,1.0,,0.0,40.65,True,11.69,9.64,85.53,18.24,4.35,6.08,2,2,0,1.0,True
2014-2015,2923550,PARK HILL,PARK HILL,MO,Platte County,17,16,10924,208,10716,822,16.7,44.79,271.81,389.6,,722.9,706.2,706.2,0.0,138.84,2.5,26.0,,39.15,16.0,34.0,,5.0,,379.49,1363.88,True,15.17,12.68,65.9,12.96,2.43,3.17,17,17,0,1.0,True
2014-2015,2923730,RAYMORE-PECULIAR R-II,RAYMORE-PECULIAR R-II,MO,Cass County,10,10,6036,37,5999,400,6.03,26.72,189.81,168.96,,391.52,385.49,385.49,0.0,67.4,8.02,15.08,,36.77,9.95,20.12,,4.0,,81.0,633.86,True,15.56,13.25,64.26,11.24,2.51,3.35,10,10,0,1.0,True
2014-2015,2925230,PLATTE CO. R-III,PLATTE CO. R-III,MO,Platte County,8,7,3964,71,3893,291,4.2,18.16,133.82,125.92,,282.1,277.9,277.9,-0.0,37.0,11.25,12.1,,17.75,3.46,13.0,,4.0,,44.0,424.66,True,14.01,12.36,71.38,9.5,3.11,3.34,8,8,0,1.0,True
2014-2015,2925330,PLEASANT HILL R-III,PLEASANT HILL R-III,MO,Cass County,5,5,2210,169,2041,158,2.86,9.46,62.65,61.9,,136.87,134.01,134.01,0.0,21.17,3.0,6.85,,9.18,5.5,6.44,,3.0,,25.0,217.01,True,15.23,13.15,65.66,10.37,3.36,3.16,5,5,0,1.0,True
2014-2015,2926070,RAYTOWN C-2,RAYTOWN C-2,MO,Jackson County,19,16,9113,257,8856,682,18.37,35.23,254.94,320.31,,628.85,610.48,610.48,0.0,203.93,23.25,25.0,,51.27,9.81,28.95,,9.0,,520.0,1500.06,True,14.51,10.87,68.93,23.03,2.82,3.27,19,19,0,1.0,True
2014-2015,2926480,RICHMOND R-XVI,RICHMOND R-XVI,MO,Ray County,4,4,1586,33,1553,121,2.5,6.0,46.94,52.4,,107.84,105.34,105.34,0.0,12.33,2.17,4.5,,5.27,2.79,6.0,,2.0,,22.18,165.08,True,14.74,13.2,67.83,7.94,2.9,3.86,4,4,0,1.0,True
2014-2015,2928410,SMITHVILLE R-II,SMITHVILLE R-II,MO,Clay County,4,4,2564,39,2525,185,4.5,11.12,57.78,87.75,,161.15,156.65,156.65,0.0,35.39,7.8,5.9,,6.8,4.9,7.5,,3.0,,22.0,254.44,True,16.12,13.15,62.04,14.02,2.34,2.97,4,4,0,1.0,True
2014-2015,2929670,STRASBURG C-3,STRASBURG C-3,MO,Cass County,1,1,146,0,146,9,0.0,1.39,10.36,0.0,,11.75,11.75,11.75,0.0,0.0,0.25,0.0,,0.0,0.0,0.0,,0.0,,4.0,16.0,True,12.43,12.43,80.48,0.0,0.0,0.0,1,1,0,1.0,True
2014-2015,2931110,WASHINGTON,WASHINGTON,MO,Clay County,2,1,4201,161,4040,286,13.18,15.28,144.56,147.5,,320.52,307.34,307.34,0.0,79.97,3.8,13.38,,33.84,7.38,14.5,,3.5,,2.89,479.78,True,13.15,10.43,76.07,19.79,3.31,3.59,12,2,10,0.1667,False
2014-2015,2931710,WEST PLATTE CO. R-II,WEST PLATTE CO. R-II,MO,Platte County,2,2,595,39,556,40,2.0,4.73,24.14,27.96,,58.83,56.83,56.83,0.0,4.94,3.29,1.68,,2.29,1.96,2.87,,0.43,,11.93,88.22,True,9.78,9.0,102.21,8.88,3.02,5.16,2,2,0,1.0,True
