school_year,nces_lea_id,district_name,lea_name,state,county_primary,operating_schools_count,regular_schools_count,enrollment_total,enrollment_pk,enrollment_k12,enrollment_kg,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_reported_fte,teachers_k12_fte,teachers_k12_fte_components,teachers_sum_diff_reported,paraprofessionals_fte,instructional_coordinators_fte,counselors_fte,psychologists_fte,student_support_staff_fte,librarians_fte,school_administrators_fte,school_admin_support_fte,lea_administrators_fte,lea_admin_support_fte,other_support_staff_fte,total_staff_fte,teacher_k12_valid,students_per_teacher_fte_k12,students_per_teacher_para_fte_k12,teachers_k12_per_1000,paraprofessionals_per_1000,counselors_per_1000,school_administrators_per_1000,lea_total_operating_schools_national,lea_operating_schools_in_region,lea_operating_schools_outside_region,lea_geographic_coverage_share,lea_fully_within_region
2023-2024,2911160,EAST LYNNE 40,EAST LYNNE 40,MO,Cass County,1,1,166,12,154,17,1.0,1.21,14.79,0.0,0.0,17.0,16.0,16.0,0.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,28.5,True,9.62,7.7,103.9,25.97,3.25,0.0,1,1,0,1.0,True
2023-2024,2911650,EXCELSIOR SPRINGS 40,EXCELSIOR SPRINGS 40,MO,Clay County,8,5,2638,171,2467,186,8.0,10.58,69.92,108.87,0.0,197.37,189.37,189.37,0.0,35.0,9.0,6.46,0.0,17.45,4.0,12.59,0.0,5.0,0.0,1.51,288.38,True,13.03,11.0,76.76,14.19,2.62,5.1,8,8,0,1.0,True
2023-2024,2912290,FORT OSAGE R-I,FORT OSAGE R-I,MO,Jackson County,11,8,4796,134,4662,334,11.21,21.0,161.42,164.37,0.0,358.0,346.79,346.79,0.0,95.35,2.2,16.0,0.0,31.3,12.0,15.8,0.0,8.0,56.0,175.23,769.88,True,13.44,10.54,74.39,20.45,3.43,3.39,11,11,0,1.0,True
2023-2024,2913080,GRAIN VALLEY R-V,GRAIN VALLEY R-V,MO,Jackson County,8,7,4448,87,4361,294,11.0,17.62,141.55,172.37,0.0,342.54,331.54,331.54,0.0,72.4,10.46,12.0,2.0,26.0,6.8,19.0,0.0,3.0,35.0,199.0,728.2,True,13.15,10.8,76.02,16.6,2.75,4.36,8,8,0,1.0,True
2023-2024,2913140,GRANDVIEW C-4,GRANDVIEW C-4,MO,Jackson County,9,7,3689,141,3548,260,12.5,17.38,131.26,118.37,0.0,279.51,267.01,267.01,0.0,52.62,6.8,13.0,3.0,18.05,7.25,15.95,0.0,4.0,52.93,51.76,504.87,True,13.29,11.1,75.26,14.83,3.66,4.5,9,9,0,1.0,True
2023-2024,2913680,HARDIN-CENTRAL C-2,HARDIN-CENTRAL C-2,MO,Ray County,2,2,224,20,204,18,1.05,1.12,10.47,11.36,0.0,24.0,22.95,22.95,0.0,3.4,0.0,1.0,0.0,1.2,0.0,1.9,0.0,1.0,0.0,0.0,32.5,True,8.89,7.74,112.5,16.67,4.9,9.31,2,2,0,1.0,True
2023-2024,2913760,HARRISONVILLE R-IX,HARRISONVILLE R-IX,MO,Cass County,7,5,2208,85,2123,131,3.5,8.37,58.77,100.61,0.0,171.25,167.75,167.75,0.0,25.5,6.75,9.0,0.0,16.25,4.0,7.3,0.0,5.0,25.0,15.14,285.19,True,12.66,10.99,79.02,12.01,4.24,3.44,7,7,0,1.0,True
2023-2024,2914340,HICKMAN MILLS C-1,HICKMAN MILLS C-1,MO,Jackson County,13,11,4981,371,4610,416,30.9,21.17,160.5,179.09,0.0,391.66,360.76,360.76,-0.0,59.0,16.0,13.0,6.37,58.4,9.0,20.0,0.0,5.0,63.0,115.4,756.83,True,12.78,10.98,78.26,12.8,2.82,4.34,13,13,0,1.0,True
2023-2024,2915480,INDEPENDENCE 30,INDEPENDENCE 30,MO,Jackson County,31,28,14168,535,13633,1014,19.77,28.54,418.05,472.68,0.0,939.04,919.27,919.27,0.0,130.62,22.0,38.42,5.98,150.46,25.9,59.0,0.0,10.0,0.0,13.0,1394.42,True,14.83,12.99,67.43,9.58,2.82,4.33,31,31,0,1.0,True
2023-2024,2916400,KANSAS CITY 33,KANSAS CITY 33,MO,Jackson County,33,32,14694,1074,13620,1126,28.99,83.45,574.81,488.64,0.0,1175.89,1146.9,1146.9,0.0,147.96,41.0,41.69,20.5,137.14,14.5,66.0,0.0,6.7,46.0,914.0,2611.38,True,11.88,10.52,84.21,10.86,3.06,4.85,33,33,0,1.0,True
2023-2024,2916450,KEARNEY R-I,KEARNEY R-I,MO,Clay County,9,8,3500,77,3423,248,7.5,13.0,97.5,137.63,0.0,255.63,248.13,248.13,0.0,75.91,6.2,11.5,0.0,25.41,7.0,13.0,0.0,3.0,28.0,52.66,478.31,True,13.8,10.56,72.49,22.18,3.36,3.8,9,9,0,1.0,True
