school_year,crdc_wave,nces_school_id,nces_lea_id,school_name,district_name,state,county_name,county_fips,locale_group,school_level,school_type,operational_status,is_operating,is_charter,is_virtual,school_ptr,enrollment_k12,classroom_teacher_fte,course_code,course_name,subject_area,course_level,num_classes,num_enrolled,num_certified,mean_class_size,certified_share,allocation_wedge
2013-2014,2013-14,290059303176,2900593,DELASALLE CHARTER SCHOOL,DELASALLE CHARTER SCHOOL,MO,Jackson,29095,City,High,Regular School,1,True,True,False,11.59,255.0,22.0,calc,Calculus,Math,Advanced / Specialized,0.0,,,,,
2013-2014,2013-14,290059303176,2900593,DELASALLE CHARTER SCHOOL,DELASALLE CHARTER SCHOOL,MO,Jackson,29095,City,High,Regular School,1,True,True,False,11.59,255.0,22.0,bio,Biology,Science,Foundation Core,10.0,120.0,,12.0,,0.41000000000000014
2013-2014,2013-14,290059303176,2900593,DELASALLE CHARTER SCHOOL,DELASALLE CHARTER SCHOOL,MO,Jackson,29095,City,High,Regular School,1,True,True,False,11.59,255.0,22.0,chem,Chemistry,Science,Foundation Core,6.0,46.0,,7.666666666666667,,-3.923333333333333
2013-2014,2013-14,290059303176,2900593,DELASALLE CHARTER SCHOOL,DELASALLE CHARTER SCHOOL,MO,Jackson,29095,City,High,Regular School,1,True,True,False,11.59,255.0,22.0,phys,Physics,Science,Advanced / Specialized,7.0,45.0,,6.428571428571429,,-5.161428571428571
2013-2014,2013-14,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson,29095,Suburb,Primary,Regular School,1,True,False,False,14.55,451.0,31.0,alg1,Algebra I,Math,Foundation Core,,,,,,
2013-2014,2013-14,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson,29095,Suburb,Primary,Regular School,1,True,False,False,14.55,451.0,31.0,geom,Geometry,Math,Foundation Core,,,,,,
2013-2014,2013-14,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson,29095,Suburb,Primary,Regular School,1,True,False,False,14.55,451.0,31.0,alg2,Algebra II,Math,Foundation Core,,,,,,
2013-2014,2013-14,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson,29095,Suburb,Primary,Regular School,1,True,False,False,14.55,451.0,31.0,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson,29095,Suburb,Primary,Regular School,1,True,False,False,14.55,451.0,31.0,calc,Calculus,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,292301001316,2923010,OAK GROVE ELEM.,OAK GROVE R-VI,MO,Jackson,29095,Suburb,Primary,Regular School,1,True,False,False,14.55,451.0,31.0,bio,Biology,Science,Foundation Core,,,,,,
