school_year,crdc_wave,nces_school_id,nces_lea_id,school_name,district_name,state,county_name,county_fips,locale_group,school_level,school_type,operational_status,is_operating,is_charter,is_virtual,school_ptr,enrollment_k12,classroom_teacher_fte,course_code,course_name,subject_area,course_level,num_classes,num_enrolled,num_certified,mean_class_size,certified_share,allocation_wedge
2013-2014,2013-14,290531002735,2905310,FRESHMAN CTR. - G. BAKER BLDG.,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,Other,Regular School,1,True,False,False,,0.0,56.0,alg1,Algebra I,Math,Foundation Core,23.0,524.0,,22.782608695652176,,
2013-2014,2013-14,290531002735,2905310,FRESHMAN CTR. - G. BAKER BLDG.,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,Other,Regular School,1,True,False,False,,0.0,56.0,geom,Geometry,Math,Foundation Core,,354.0,,,,
2013-2014,2013-14,290531002735,2905310,FRESHMAN CTR. - G. BAKER BLDG.,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,Other,Regular School,1,True,False,False,,0.0,56.0,alg2,Algebra II,Math,Foundation Core,0.0,,,,,
2013-2014,2013-14,290531002735,2905310,FRESHMAN CTR. - G. BAKER BLDG.,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,Other,Regular School,1,True,False,False,,0.0,56.0,advm,Advanced Mathematics,Math,Advanced / Specialized,0.0,,,,,
2013-2014,2013-14,290531002735,2905310,FRESHMAN CTR. - G. BAKER BLDG.,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,Other,Regular School,1,True,False,False,,0.0,56.0,calc,Calculus,Math,Advanced / Specialized,0.0,,,,,
2013-2014,2013-14,290531002735,2905310,FRESHMAN CTR. - G. BAKER BLDG.,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,Other,Regular School,1,True,False,False,,0.0,56.0,bio,Biology,Science,Foundation Core,6.0,178.0,,29.666666666666668,,
2013-2014,2013-14,290531002735,2905310,FRESHMAN CTR. - G. BAKER BLDG.,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,Other,Regular School,1,True,False,False,,0.0,56.0,chem,Chemistry,Science,Foundation Core,1.0,11.0,,11.0,,
2013-2014,2013-14,290531002735,2905310,FRESHMAN CTR. - G. BAKER BLDG.,BLUE SPRINGS R-IV,MO,Jackson,29095,Suburb,Other,Regular School,1,True,False,False,,0.0,56.0,phys,Physics,Science,Advanced / Specialized,0.0,,,,,
2013-2014,2013-14,291854003226,2918540,DISCOVERY MIDDLE SCHOOL,LIBERTY 53,MO,Clay,29047,Suburb,Middle,Regular School,3,True,False,False,14.9,611.0,41.0,alg1,Algebra I,Math,Foundation Core,2.0,,,,,
2013-2014,2013-14,291854003226,2918540,DISCOVERY MIDDLE SCHOOL,LIBERTY 53,MO,Clay,29047,Suburb,Middle,Regular School,3,True,False,False,14.9,611.0,41.0,geom,Geometry,Math,Foundation Core,,,,,,
2013-2014,2013-14,291854003226,2918540,DISCOVERY MIDDLE SCHOOL,LIBERTY 53,MO,Clay,29047,Suburb,Middle,Regular School,3,True,False,False,14.9,611.0,41.0,alg2,Algebra II,Math,Foundation Core,,,,,,
2013-2014,2013-14,291854003226,2918540,DISCOVERY MIDDLE SCHOOL,LIBERTY 53,MO,Clay,29047,Suburb,Middle,Regular School,3,True,False,False,14.9,611.0,41.0,advm,Advanced Mathematics,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,291854003226,2918540,DISCOVERY MIDDLE SCHOOL,LIBERTY 53,MO,Clay,29047,Suburb,Middle,Regular School,3,True,False,False,14.9,611.0,41.0,calc,Calculus,Math,Advanced / Specialized,,,,,,
2013-2014,2013-14,291854003226,2918540,DISCOVERY MIDDLE SCHOOL,LIBERTY 53,MO,Clay,29047,Suburb,Middle,Regular School,3,True,False,False,14.9,611.0,41.0,bio,Biology,Science,Foundation Core,,,,,,
2013-2014,2013-14,291854003226,2918540,DISCOVERY MIDDLE SCHOOL,LIBERTY 53,MO,Clay,29047,Suburb,Middle,Regular School,3,True,False,False,14.9,611.0,41.0,chem,Chemistry,Science,Foundation Core,,,,,,
2013-2014,2013-14,291854003226,2918540,DISCOVERY MIDDLE SCHOOL,LIBERTY 53,MO,Clay,29047,Suburb,Middle,Regular School,3,True,False,False,14.9,611.0,41.0,phys,Physics,Science,Advanced / Specialized,,,,,,
2013-2014,2013-14,200795001388,2007950,BANNEKER ELEM,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,14.21,398.0,28.0,alg1,Algebra I,Math,Foundation Core,,,,,,
