school_year,crdc_wave,nces_school_id,nces_lea_id,school_name,district_name,lea_name,state,county_name,county_fips,locale_group,school_level,school_type,operational_status,is_operating,is_charter,is_virtual,enrollment_k12,classroom_teacher_fte,school_ptr,classes_alg1,enrollment_alg1,certified_alg1,mean_class_size_alg1,certified_share_alg1,allocation_wedge_alg1,classes_geom,enrollment_geom,certified_geom,mean_class_size_geom,certified_share_geom,allocation_wedge_geom,classes_alg2,enrollment_alg2,certified_alg2,mean_class_size_alg2,certified_share_alg2,allocation_wedge_alg2,classes_advm,enrollment_advm,certified_advm,mean_class_size_advm,certified_share_advm,allocation_wedge_advm,classes_calc,enrollment_calc,certified_calc,mean_class_size_calc,certified_share_calc,allocation_wedge_calc,classes_bio,enrollment_bio,certified_bio,mean_class_size_bio,certified_share_bio,allocation_wedge_bio,classes_chem,enrollment_chem,certified_chem,mean_class_size_chem,certified_share_chem,allocation_wedge_chem,classes_phys,enrollment_phys,certified_phys,mean_class_size_phys,certified_share_phys,allocation_wedge_phys
2013-2014,2013-14,201014001669,2010140,COUNTRYSIDE ELEMENTARY,OLATHE,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,454.0,33.0,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,201014001625,2010140,INDIAN CREEK ELEM,OLATHE,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,467.0,33.0,14.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,292607001973,2926070,RAYTOWN EDUCATION CTR.,RAYTOWN C-2,RAYTOWN C-2,MO,Jackson,29095,Suburb,Other,Alternative,1,True,False,False,0.0,18.0,,2.0,26.0,,13.0,,,,14.0,,,,,1.0,8.0,,8.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,
2013-2014,2013-14,201164000932,2011640,SUNFLOWER ELEM,SHAWNEE MISSION PUB SCH,SHAWNEE MISSION PUB SCH,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,583.0,35.0,16.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,291434000664,2914340,WARFORD ELEM.,HICKMAN MILLS C-1,HICKMAN MILLS C-1,MO,Jackson,29095,City,Primary,Regular School,1,True,False,False,345.0,28.0,12.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,200378001187,2003780,LINWOOD ELEMENTARY SCHOOL,BASEHOR-LINWOOD,BASEHOR-LINWOOD,KS,Leavenworth,20103,Rural,Primary,Regular School,1,True,False,False,115.0,11.0,10.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,201014000040,2010140,OLATHE EAST SR HIGH,OLATHE,OLATHE,KS,Johnson,20091,Suburb,High,Regular School,1,True,False,False,2096.0,132.0,15.88,25.0,236.0,,9.44,,-6.440000000000001,,481.0,,,,,10.0,223.0,,22.3,,6.42,38.0,915.0,,24.07894736842105,,8.19894736842105,8.0,108.0,,13.5,,-2.380000000000001,53.0,999.0,,18.849056603773583,,2.9690566037735824,23.0,514.0,,22.347826086956523,,6.4678260869565225,12.0,281.0,,23.416666666666668,,7.536666666666667
2013-2014,2013-14,201200000112,2012000,BLUE VALLEY HIGH,BLUE VALLEY,BLUE VALLEY,KS,Johnson,20091,Suburb,High,Regular School,1,True,False,False,1464.0,85.0,17.22,37.0,136.0,,3.675675675675676,,-13.544324324324323,,331.0,,,,,66.0,364.0,,5.515151515151516,,-11.704848484848483,82.0,400.0,,4.878048780487805,,-12.341951219512193,23.0,120.0,,5.217391304347826,,-12.002608695652173,82.0,403.0,,4.914634146341464,,-12.305365853658536,74.0,335.0,,4.527027027027027,,-12.69297297297297,50.0,289.0,,5.78,,-11.439999999999998
2013-2014,2013-14,201014000142,2010140,NORTHVIEW ELEM,OLATHE,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,276.0,22.0,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,200795001437,2007950,M E PEARSON ELEM,KANSAS CITY,KANSAS CITY,KS,Wyandotte,20209,City,Primary,Regular School,1,True,False,False,589.0,39.0,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,290002402838,2900024,BROOKSIDE CHARTER SCH.,BROOKSIDE CHARTER SCH.,BROOKSIDE CHARTER SCH.,MO,Jackson,29095,City,Primary,Regular School,1,True,True,False,407.0,27.0,15.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,292280001258,2922800,ANTIOCH MIDDLE,NORTH KANSAS CITY 74,NORTH KANSAS CITY 74,MO,Clay,29047,Suburb,Middle,Regular School,1,True,False,False,882.0,64.0,13.78,3.0,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,200642000122,2006420,GARDNER EDGERTON HIGH,GARDNER EDGERTON,GARDNER EDGERTON,KS,Johnson,20091,Suburb,High,Regular School,1,True,False,False,1416.0,83.0,17.06,15.0,393.0,,26.2,,9.14,,380.0,,,,,12.0,294.0,,24.5,,7.440000000000001,10.0,276.0,,27.6,,10.540000000000003,1.0,31.0,,31.0,,13.940000000000001,15.0,356.0,,23.733333333333334,,6.673333333333336,12.0,262.0,,21.833333333333332,,4.773333333333333,6.0,154.0,,25.666666666666668,,8.60666666666667
2013-2014,2013-14,292648001878,2926480,SUNRISE ELEM.,RICHMOND R-XVI,RICHMOND R-XVI,MO,Ray,29177,Rural,Primary,Regular School,1,True,False,False,481.0,33.0,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,291229003103,2912290,INDIAN TRAILS ELEM.,FORT OSAGE R-I,FORT OSAGE R-I,MO,Jackson,29095,Rural,Primary,Regular School,1,True,False,False,356.0,25.0,14.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,290531002835,2905310,SUNNY VALE MIDDLE,BLUE SPRINGS R-IV,BLUE SPRINGS R-IV,MO,Jackson,29095,Rural,Middle,Regular School,1,True,False,False,758.0,41.0,18.49,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,200549001871,2005490,MILL CREEK MIDDLE SCHOOL,DE SOTO,DE SOTO,KS,Johnson,20091,Rural,Middle,Regular School,1,True,False,False,660.0,43.0,15.35,7.0,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,290002702808,2900027,UNIVERSITY ACADEMY-UPPER,UNIVERSITY ACADEMY,UNIVERSITY ACADEMY,MO,Jackson,29095,City,High,Regular School,1,True,True,False,204.0,15.0,13.6,3.0,45.0,,15.0,,1.4000000000000004,,51.0,,,,,2.0,33.0,,16.5,,2.9000000000000004,3.0,59.0,,19.666666666666668,,6.066666666666668,0.0,,,,,,3.0,54.0,,18.0,,4.4,4.0,54.0,,13.5,,-0.09999999999999964,1.0,12.0,,12.0,,-1.5999999999999996
2013-2014,2013-14,201200001686,2012000,OVERLAND TRAIL MIDDLE,BLUE VALLEY,BLUE VALLEY,KS,Johnson,20091,City,Middle,Regular School,1,True,False,False,669.0,40.0,16.73,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,291548003157,2915480,SUNSHINE CENTER,INDEPENDENCE 30,INDEPENDENCE 30,MO,Jackson,29095,Suburb,Primary,Regular School,1,True,False,False,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,291032001610,2910320,SHERWOOD MIDDLE,SHERWOOD CASS R-VIII,SHERWOOD CASS R-VIII,MO,Cass,29037,Rural,Middle,Regular School,1,True,False,False,173.0,13.0,13.31,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,200843002036,2008430,DAVID BREWER ELEMENTARY,LEAVENWORTH,LEAVENWORTH,KS,Leavenworth,20103,Town,Primary,Regular School,1,True,False,False,332.0,26.0,12.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,201014001292,2010140,CEDAR CREEK ELEM,OLATHE,OLATHE,KS,Johnson,20091,Rural,Primary,Regular School,1,True,False,False,581.0,28.0,20.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,292607003085,2926070,RAYTOWN CENTRAL MIDDLE,RAYTOWN C-2,RAYTOWN C-2,MO,Jackson,29095,Suburb,Middle,Regular School,1,True,False,False,600.0,36.0,16.67,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,291645001434,2916450,SOUTHVIEW ELEM.,KEARNEY R-I,KEARNEY R-I,MO,Clay,29047,Town,Primary,Regular School,1,True,False,False,452.0,29.0,15.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,291830001971,2918300,CEDAR CREEK ELEM.,LEES SUMMIT R-VII,LEES SUMMIT R-VII,MO,Jackson,29095,Suburb,Primary,Regular School,1,True,False,False,517.0,29.0,17.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,290000901270,2900009,NORTHWEST REG. YOUTH CTR.,DIVISION OF YOUTH SERVICE,DIVISION OF YOUTH SERVICE,MO,Clay,29047,City,Other,Alternative,1,True,False,False,24.0,6.0,4.0,1.0,38.0,,38.0,,34.0,,16.0,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,1.0,28.0,,28.0,,24.0,0.0,,,,,,0.0,,,,,
2013-2014,2013-14,291434002979,2914340,EARLY CHILDHOOD CTR.,HICKMAN MILLS C-1,HICKMAN MILLS C-1,MO,Jackson,29095,City,Primary,Regular School,1,True,False,False,225.0,17.0,13.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,291854002729,2918540,LILLIAN SCHUMACHER ELEM.,LIBERTY 53,LIBERTY 53,MO,Clay,29047,Suburb,Primary,Regular School,1,True,False,False,655.0,38.0,17.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,200378001184,2003780,BASEHOR ELEMENTARY SCHOOL,BASEHOR-LINWOOD,BASEHOR-LINWOOD,KS,Leavenworth,20103,Town,Primary,Regular School,1,True,False,False,517.0,36.0,14.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,200549001724,2005490,MIZE ELEMENTARY SCHOOL,DE SOTO,DE SOTO,KS,Johnson,20091,Rural,Primary,Regular School,1,True,False,False,405.0,24.0,16.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,2013-14,201014001924,2010140,WOODLAND ELEM,OLATHE,OLATHE,KS,Johnson,20091,Suburb,Primary,Regular School,1,True,False,False,366.0,24.0,15.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
