school_year,nces_school_id,nces_lea_id,school_name,district_name,state,county_name,county_fips,school_level,school_type,operational_status,is_operating,locale_code,locale_group,is_charter,is_virtual,enrollment_total,classroom_teacher_fte,school_ptr
2013-2014,200633000049,2006330,PATTON JR HIGH,FT LEAVENWORTH,KS,Leavenworth,20103,Middle,Regular School,1,True,31,Town,False,False,363.0,29.0,12.52
2013-2014,200642000120,2006420,GARDNER ELEM,GARDNER EDGERTON,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,348.0,23.0,15.13
2013-2014,200642000122,2006420,GARDNER EDGERTON HIGH,GARDNER EDGERTON,KS,Johnson,20091,High,Regular School,1,True,21,Suburb,False,False,1416.0,83.0,17.06
2013-2014,200642000123,2006420,EDGERTON ELEM,GARDNER EDGERTON,KS,Johnson,20091,Primary,Regular School,1,True,41,Rural,False,False,184.0,15.0,12.27
2013-2014,200642000997,2006420,SUNFLOWER ELEMENTARY,GARDNER EDGERTON,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,344.0,21.0,16.38
2013-2014,200642001716,2006420,MOONLIGHT ELEMENTARY SCHOOL,GARDNER EDGERTON,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,338.0,22.0,15.36
2013-2014,200642001780,2006420,MADISON ELEMENTARY,GARDNER EDGERTON,KS,Johnson,20091,Primary,Regular School,1,True,21,Suburb,False,False,530.0,28.0,18.93
2013-2014,200642001824,2006420,PIONEER RIDGE MIDDLE SCHOOL,GARDNER EDGERTON,KS,Johnson,20091,Middle,Regular School,1,True,41,Rural,False,False,765.0,51.0,15.0
2013-2014,200642001825,2006420,NIKE ELEMENTARY,GARDNER EDGERTON,KS,Johnson,20091,Primary,Regular School,1,True,41,Rural,False,False,360.0,22.0,16.36
2013-2014,200642001878,2006420,WHEATRIDGE MIDDLE SCHOOL,GARDNER EDGERTON,KS,Johnson,20091,Middle,Regular School,1,True,21,Suburb,False,False,828.0,52.0,15.92
2013-2014,200642002070,2006420,GRAND STAR ELEMENTARY,GARDNER EDGERTON,KS,Johnson,20091,Primary,Regular School,3,True,21,Suburb,False,False,370.0,26.0,14.23
2013-2014,200795001388,2007950,BANNEKER ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,398.0,28.0,14.21
2013-2014,200795001390,2007950,SILVER CITY ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,345.0,25.0,13.8
2013-2014,200795001392,2007950,CHELSEA ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,614.0,39.0,15.74
2013-2014,200795001393,2007950,DOUGLASS ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,445.0,32.0,13.91
2013-2014,200795001394,2007950,THOMAS A EDISON ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,403.0,22.0,18.32
2013-2014,200795001395,2007950,EMERSON ELEM,KANSAS CITY,KS,Wyandotte,20209,Primary,Regular School,1,True,12,City,False,False,209.0,16.0,13.06
