school_year,crdc_wave,data_source,nces_school_id,school_name,enrollment_crdc,idea_count,idea_share,section_504_count,section_504_share,lep_count,lep_share,accommodations_count,accommodations_share,chronic_absent_count,chronic_absent_rate,district_name,state,county_name,locale_group,school_level,school_type,is_virtual,is_operating,enrollment_total,enrollment_k12,classroom_teacher_fte,school_ptr,frl_eligible,frl_rate,is_balanced_school
2015-2016,2015-16,CRDC,201164001518,Apache Elem,571.0,39.0,0.06830122591943957,10.0,0.017513134851138354,130.0,0.2276707530647986,49.0,0.08581436077057793,,,Shawnee Mission Pub Sch,KS,Johnson County,City,Primary,Regular School,False,True,560.0,560.0,36.8,15.22,403.0,0.7196,True
2015-2016,2015-16,CRDC,201164001521,Belinder Elem,491.0,17.0,0.034623217922606926,10.0,0.020366598778004074,10.0,0.020366598778004074,27.0,0.054989816700611,,,Shawnee Mission Pub Sch,KS,Johnson County,Suburb,Primary,Regular School,False,True,491.0,491.0,31.2,15.74,63.0,0.1283,True
2015-2016,2015-16,CRDC,201164001522,Bluejacket-Flint,501.0,37.0,0.07385229540918163,16.0,0.031936127744510975,106.0,0.21157684630738524,53.0,0.10578842315369262,,,Shawnee Mission Pub Sch,KS,Johnson County,Suburb,Primary,Regular School,False,True,494.0,494.0,33.0,14.97,283.0,0.5729,True
2015-2016,2015-16,CRDC,201164001523,Briarwood Elem,578.0,26.0,0.04498269896193772,4.0,0.006920415224913495,91.0,0.157439446366782,30.0,0.05190311418685121,,,Shawnee Mission Pub Sch,KS,Johnson County,City,Primary,Regular School,False,True,571.0,571.0,34.3,16.65,128.0,0.2242,True
2015-2016,2015-16,CRDC,201164001524,Brookridge Elem,536.0,40.0,0.07462686567164178,13.0,0.024253731343283583,138.0,0.2574626865671642,53.0,0.09888059701492537,,,Shawnee Mission Pub Sch,KS,Johnson County,City,Primary,Regular School,False,True,526.0,526.0,34.5,15.25,244.0,0.4639,True
2015-2016,2015-16,CRDC,201164001525,Brookwood Elem,371.0,20.0,0.05390835579514825,4.0,0.01078167115902965,6.0,0.016172506738544475,24.0,0.0646900269541779,,,Shawnee Mission Pub Sch,KS,Johnson County,Suburb,Primary,Regular School,False,True,371.0,371.0,23.3,15.92,23.0,0.062,True
2015-2016,2015-16,CRDC,201164001527,Comanche Elem,518.0,33.0,0.0637065637065637,6.0,0.011583011583011582,237.0,0.4575289575289575,39.0,0.07528957528957529,,,Shawnee Mission Pub Sch,KS,Johnson County,City,Primary,Regular School,False,True,488.0,488.0,34.6,14.1,407.0,0.834,True
2015-2016,2015-16,CRDC,201164001528,Corinth Elem,550.0,20.0,0.03636363636363636,12.0,0.02181818181818182,8.0,0.014545454545454545,32.0,0.05818181818181818,,,Shawnee Mission Pub Sch,KS,Johnson County,Suburb,Primary,Regular School,False,True,545.0,545.0,29.2,18.66,28.0,0.0514,True
2015-2016,2015-16,CRDC,201164001529,Crestview Elem,353.0,15.0,0.042492917847025496,8.0,0.0226628895184136,72.0,0.20396600566572237,23.0,0.06515580736543909,,,Shawnee Mission Pub Sch,KS,Johnson County,City,Primary,Regular School,False,True,332.0,332.0,23.3,14.25,212.0,0.6386,True
2015-2016,2015-16,CRDC,201164001534,Highlands Elem,305.0,28.0,0.09180327868852459,4.0,0.013114754098360656,4.0,0.013114754098360656,32.0,0.10491803278688525,,,Shawnee Mission Pub Sch,KS,Johnson County,Suburb,Primary,Regular School,False,True,311.0,311.0,25.0,12.44,49.0,0.1576,True
2015-2016,2015-16,CRDC,201164001535,John Diemer Elem,380.0,25.0,0.06578947368421052,10.0,0.02631578947368421,61.0,0.16052631578947368,35.0,0.09210526315789473,,,Shawnee Mission Pub Sch,KS,Johnson County,City,Primary,Regular School,False,True,379.0,379.0,24.8,15.28,152.0,0.4011,True
2015-2016,2015-16,CRDC,201164001537,Shawanoe Elem,436.0,41.0,0.09403669724770643,7.0,0.016055045871559634,218.0,0.5,48.0,0.11009174311926606,,,Shawnee Mission Pub Sch,KS,Johnson County,Suburb,Primary,Regular School,False,True,403.0,399.0,26.9,14.98,323.0,0.8015,True
2015-2016,2015-16,CRDC,201164001539,Ray Marsh Elem,534.0,33.0,0.06179775280898876,4.0,0.00749063670411985,28.0,0.052434456928838954,37.0,0.06928838951310862,,,Shawnee Mission Pub Sch,KS,Johnson County,Suburb,Primary,Regular School,False,True,524.0,524.0,28.9,18.13,132.0,0.2519,True
2015-2016,2015-16,CRDC,201164001542,Mill Creek Elem,378.0,20.0,0.05291005291005291,8.0,0.021164021164021163,10.0,0.026455026455026454,28.0,0.07407407407407407,,,Shawnee Mission Pub Sch,KS,Johnson County,Suburb,Primary,Regular School,False,True,372.0,372.0,24.9,14.94,41.0,0.1102,True
2015-2016,2015-16,CRDC,201164001544,Nieman Elem,565.0,41.0,0.07256637168141593,10.0,0.017699115044247787,178.0,0.31504424778761064,51.0,0.09026548672566372,,,Shawnee Mission Pub Sch,KS,Johnson County,Suburb,Primary,Regular School,False,True,566.0,566.0,37.9,14.93,398.0,0.7032,True
2015-2016,2015-16,CRDC,201164001546,Overland Park Elem,412.0,38.0,0.09223300970873786,6.0,0.014563106796116505,63.0,0.1529126213592233,44.0,0.10679611650485436,,,Shawnee Mission Pub Sch,KS,Johnson County,City,Primary,Regular School,False,True,398.0,398.0,29.6,13.45,211.0,0.5302,True
