SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,DATA_GROUP,LUNCH_PROGRAM,STUDENT_COUNT,TOTAL_INDICATOR,DMS_FLAG
2024-2025,20,KANSAS,KS,Linwood Elementary School,01,,KS-D0458,2003780,KS-D0458-7170,200378001187,2001187,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Linwood Elementary School,01,,KS-D0458,2003780,KS-D0458-7170,200378001187,2001187,Free and Reduced-price Lunch Table,Free lunch qualified,49,Category Set A,Reported
2024-2025,20,KANSAS,KS,Linwood Elementary School,01,,KS-D0458,2003780,KS-D0458-7170,200378001187,2001187,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,10,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood Middle School,01,,KS-D0458,2003780,KS-D0458-7172,200378001188,2001188,Free and Reduced-price Lunch Table,No Category Codes,150,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood Middle School,01,,KS-D0458,2003780,KS-D0458-7172,200378001188,2001188,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Basehor-Linwood Middle School,01,,KS-D0458,2003780,KS-D0458-7172,200378001188,2001188,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood Middle School,01,,KS-D0458,2003780,KS-D0458-7172,200378001188,2001188,Free and Reduced-price Lunch Table,Free lunch qualified,111,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood Middle School,01,,KS-D0458,2003780,KS-D0458-7172,200378001188,2001188,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,39,Category Set A,Reported
2024-2025,20,KANSAS,KS,Glenwood Ridge Elementary School,01,,KS-D0458,2003780,KS-D0458-7175,200378001729,2001729,Free and Reduced-price Lunch Table,No Category Codes,62,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Glenwood Ridge Elementary School,01,,KS-D0458,2003780,KS-D0458-7175,200378001729,2001729,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Glenwood Ridge Elementary School,01,,KS-D0458,2003780,KS-D0458-7175,200378001729,2001729,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Glenwood Ridge Elementary School,01,,KS-D0458,2003780,KS-D0458-7175,200378001729,2001729,Free and Reduced-price Lunch Table,Free lunch qualified,49,Category Set A,Reported
2024-2025,20,KANSAS,KS,Glenwood Ridge Elementary School,01,,KS-D0458,2003780,KS-D0458-7175,200378001729,2001729,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,13,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gray Hawk Elementary School,01,,KS-D0458,2003780,KS-D0458-7181,200378002159,2002159,Free and Reduced-price Lunch Table,No Category Codes,65,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Gray Hawk Elementary School,01,,KS-D0458,2003780,KS-D0458-7181,200378002159,2002159,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Gray Hawk Elementary School,01,,KS-D0458,2003780,KS-D0458-7181,200378002159,2002159,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gray Hawk Elementary School,01,,KS-D0458,2003780,KS-D0458-7181,200378002159,2002159,Free and Reduced-price Lunch Table,Free lunch qualified,53,Category Set A,Reported
2024-2025,20,KANSAS,KS,Gray Hawk Elementary School,01,,KS-D0458,2003780,KS-D0458-7181,200378002159,2002159,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,12,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood Virtual School,01,,KS-D0458,2003780,KS-D0458-7188,200378002160,2002160,Free and Reduced-price Lunch Table,No Category Codes,3,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood Virtual School,01,,KS-D0458,2003780,KS-D0458-7188,200378002160,2002160,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Basehor-Linwood Virtual School,01,,KS-D0458,2003780,KS-D0458-7188,200378002160,2002160,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood Virtual School,01,,KS-D0458,2003780,KS-D0458-7188,200378002160,2002160,Free and Reduced-price Lunch Table,Free lunch qualified,3,Category Set A,Reported
2024-2025,20,KANSAS,KS,Basehor-Linwood Virtual School,01,,KS-D0458,2003780,KS-D0458-7188,200378002160,2002160,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs Elementary,01,,KS-D0204,2004050,KS-D0204-0210,200405000029,2000029,Free and Reduced-price Lunch Table,No Category Codes,215,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Bonner Springs Elementary,01,,KS-D0204,2004050,KS-D0204-0210,200405000029,2000029,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Bonner Springs Elementary,01,,KS-D0204,2004050,KS-D0204-0210,200405000029,2000029,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs Elementary,01,,KS-D0204,2004050,KS-D0204-0210,200405000029,2000029,Free and Reduced-price Lunch Table,Free lunch qualified,185,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bonner Springs Elementary,01,,KS-D0204,2004050,KS-D0204-0210,200405000029,2000029,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,30,Category Set A,Reported
