SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,DATA_GROUP,LUNCH_PROGRAM,STUDENT_COUNT,TOTAL_INDICATOR,DMS_FLAG
2024-2025,20,KANSAS,KS,Meadow Lane Elem,01,,KS-D0233,2010140,KS-D0233-0868,201014000140,2000140,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Meadow Lane Elem,01,,KS-D0233,2010140,KS-D0233-0868,201014000140,2000140,Free and Reduced-price Lunch Table,Free lunch qualified,23,Category Set A,Reported
2024-2025,20,KANSAS,KS,Meadow Lane Elem,01,,KS-D0233,2010140,KS-D0233-0868,201014000140,2000140,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,10,Category Set A,Reported
2024-2025,20,KANSAS,KS,Rolling Ridge Elem,01,,KS-D0233,2010140,KS-D0233-0870,201014000141,2000141,Free and Reduced-price Lunch Table,No Category Codes,237,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Rolling Ridge Elem,01,,KS-D0233,2010140,KS-D0233-0870,201014000141,2000141,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Rolling Ridge Elem,01,,KS-D0233,2010140,KS-D0233-0870,201014000141,2000141,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Rolling Ridge Elem,01,,KS-D0233,2010140,KS-D0233-0870,201014000141,2000141,Free and Reduced-price Lunch Table,Free lunch qualified,186,Category Set A,Reported
2024-2025,20,KANSAS,KS,Rolling Ridge Elem,01,,KS-D0233,2010140,KS-D0233-0870,201014000141,2000141,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,51,Category Set A,Reported
2024-2025,20,KANSAS,KS,Northview Elem,01,,KS-D0233,2010140,KS-D0233-0871,201014000142,2000142,Free and Reduced-price Lunch Table,No Category Codes,127,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Northview Elem,01,,KS-D0233,2010140,KS-D0233-0871,201014000142,2000142,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Northview Elem,01,,KS-D0233,2010140,KS-D0233-0871,201014000142,2000142,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Northview Elem,01,,KS-D0233,2010140,KS-D0233-0871,201014000142,2000142,Free and Reduced-price Lunch Table,Free lunch qualified,100,Category Set A,Reported
2024-2025,20,KANSAS,KS,Northview Elem,01,,KS-D0233,2010140,KS-D0233-0871,201014000142,2000142,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,27,Category Set A,Reported
2024-2025,20,KANSAS,KS,Havencroft Elem,01,,KS-D0233,2010140,KS-D0233-0872,201014000143,2000143,Free and Reduced-price Lunch Table,No Category Codes,166,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Havencroft Elem,01,,KS-D0233,2010140,KS-D0233-0872,201014000143,2000143,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Havencroft Elem,01,,KS-D0233,2010140,KS-D0233-0872,201014000143,2000143,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Havencroft Elem,01,,KS-D0233,2010140,KS-D0233-0872,201014000143,2000143,Free and Reduced-price Lunch Table,Free lunch qualified,144,Category Set A,Reported
2024-2025,20,KANSAS,KS,Havencroft Elem,01,,KS-D0233,2010140,KS-D0233-0872,201014000143,2000143,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,22,Category Set A,Reported
2024-2025,20,KANSAS,KS,Scarborough Elem,01,,KS-D0233,2010140,KS-D0233-0874,201014000144,2000144,Free and Reduced-price Lunch Table,No Category Codes,102,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Scarborough Elem,01,,KS-D0233,2010140,KS-D0233-0874,201014000144,2000144,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Scarborough Elem,01,,KS-D0233,2010140,KS-D0233-0874,201014000144,2000144,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Scarborough Elem,01,,KS-D0233,2010140,KS-D0233-0874,201014000144,2000144,Free and Reduced-price Lunch Table,Free lunch qualified,89,Category Set A,Reported
2024-2025,20,KANSAS,KS,Scarborough Elem,01,,KS-D0233,2010140,KS-D0233-0874,201014000144,2000144,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,13,Category Set A,Reported
2024-2025,20,KANSAS,KS,Black Bob Elem,01,,KS-D0233,2010140,KS-D0233-0876,201014000145,2000145,Free and Reduced-price Lunch Table,No Category Codes,78,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Black Bob Elem,01,,KS-D0233,2010140,KS-D0233-0876,201014000145,2000145,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Black Bob Elem,01,,KS-D0233,2010140,KS-D0233-0876,201014000145,2000145,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Black Bob Elem,01,,KS-D0233,2010140,KS-D0233-0876,201014000145,2000145,Free and Reduced-price Lunch Table,Free lunch qualified,53,Category Set A,Reported
2024-2025,20,KANSAS,KS,Black Bob Elem,01,,KS-D0233,2010140,KS-D0233-0876,201014000145,2000145,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,25,Category Set A,Reported
2024-2025,20,KANSAS,KS,Heatherstone Elem,01,,KS-D0233,2010140,KS-D0233-2784,201014000910,2000910,Free and Reduced-price Lunch Table,No Category Codes,86,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Heatherstone Elem,01,,KS-D0233,2010140,KS-D0233-2784,201014000910,2000910,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Heatherstone Elem,01,,KS-D0233,2010140,KS-D0233-2784,201014000910,2000910,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Heatherstone Elem,01,,KS-D0233,2010140,KS-D0233-2784,201014000910,2000910,Free and Reduced-price Lunch Table,Free lunch qualified,76,Category Set A,Reported
2024-2025,20,KANSAS,KS,Heatherstone Elem,01,,KS-D0233,2010140,KS-D0233-2784,201014000910,2000910,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,10,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bentwood Elem,01,,KS-D0233,2010140,KS-D0233-2785,201014001000,2001000,Free and Reduced-price Lunch Table,No Category Codes,47,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Bentwood Elem,01,,KS-D0233,2010140,KS-D0233-2785,201014001000,2001000,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Bentwood Elem,01,,KS-D0233,2010140,KS-D0233-2785,201014001000,2001000,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bentwood Elem,01,,KS-D0233,2010140,KS-D0233-2785,201014001000,2001000,Free and Reduced-price Lunch Table,Free lunch qualified,39,Category Set A,Reported
2024-2025,20,KANSAS,KS,Bentwood Elem,01,,KS-D0233,2010140,KS-D0233-2785,201014001000,2001000,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,8,Category Set A,Reported
2024-2025,20,KANSAS,KS,California Trail Middle School,01,,KS-D0233,2010140,KS-D0233-2786,201014001019,2001019,Free and Reduced-price Lunch Table,No Category Codes,79,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,California Trail Middle School,01,,KS-D0233,2010140,KS-D0233-2786,201014001019,2001019,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,California Trail Middle School,01,,KS-D0233,2010140,KS-D0233-2786,201014001019,2001019,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,California Trail Middle School,01,,KS-D0233,2010140,KS-D0233-2786,201014001019,2001019,Free and Reduced-price Lunch Table,Free lunch qualified,67,Category Set A,Reported
2024-2025,20,KANSAS,KS,California Trail Middle School,01,,KS-D0233,2010140,KS-D0233-2786,201014001019,2001019,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,12,Category Set A,Reported
2024-2025,20,KANSAS,KS,Cedar Creek Elem,01,,KS-D0233,2010140,KS-D0233-2787,201014001292,2001292,Free and Reduced-price Lunch Table,No Category Codes,15,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Cedar Creek Elem,01,,KS-D0233,2010140,KS-D0233-2787,201014001292,2001292,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Cedar Creek Elem,01,,KS-D0233,2010140,KS-D0233-2787,201014001292,2001292,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Cedar Creek Elem,01,,KS-D0233,2010140,KS-D0233-2787,201014001292,2001292,Free and Reduced-price Lunch Table,Free lunch qualified,13,Category Set A,Reported
2024-2025,20,KANSAS,KS,Cedar Creek Elem,01,,KS-D0233,2010140,KS-D0233-2787,201014001292,2001292,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,2,Category Set A,Reported
2024-2025,20,KANSAS,KS,Regency Place Elementary,01,,KS-D0233,2010140,KS-D0233-0846,201014001484,2001484,Free and Reduced-price Lunch Table,No Category Codes,60,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Regency Place Elementary,01,,KS-D0233,2010140,KS-D0233-0846,201014001484,2001484,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Regency Place Elementary,01,,KS-D0233,2010140,KS-D0233-0846,201014001484,2001484,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Regency Place Elementary,01,,KS-D0233,2010140,KS-D0233-0846,201014001484,2001484,Free and Reduced-price Lunch Table,Free lunch qualified,44,Category Set A,Reported
2024-2025,20,KANSAS,KS,Regency Place Elementary,01,,KS-D0233,2010140,KS-D0233-0846,201014001484,2001484,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,16,Category Set A,Reported
2024-2025,20,KANSAS,KS,Sunnyside Elementary School,01,,KS-D0233,2010140,KS-D0233-9300,201014001541,2001541,Free and Reduced-price Lunch Table,No Category Codes,33,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Sunnyside Elementary School,01,,KS-D0233,2010140,KS-D0233-9300,201014001541,2001541,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Sunnyside Elementary School,01,,KS-D0233,2010140,KS-D0233-9300,201014001541,2001541,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Sunnyside Elementary School,01,,KS-D0233,2010140,KS-D0233-9300,201014001541,2001541,Free and Reduced-price Lunch Table,Free lunch qualified,25,Category Set A,Reported
2024-2025,20,KANSAS,KS,Sunnyside Elementary School,01,,KS-D0233,2010140,KS-D0233-9300,201014001541,2001541,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,8,Category Set A,Reported
2024-2025,20,KANSAS,KS,Chisholm Trail Middle School,01,,KS-D0233,2010140,KS-D0233-9301,201014001548,2001548,Free and Reduced-price Lunch Table,No Category Codes,75,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Chisholm Trail Middle School,01,,KS-D0233,2010140,KS-D0233-9301,201014001548,2001548,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Chisholm Trail Middle School,01,,KS-D0233,2010140,KS-D0233-9301,201014001548,2001548,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Chisholm Trail Middle School,01,,KS-D0233,2010140,KS-D0233-9301,201014001548,2001548,Free and Reduced-price Lunch Table,Free lunch qualified,57,Category Set A,Reported
2024-2025,20,KANSAS,KS,Chisholm Trail Middle School,01,,KS-D0233,2010140,KS-D0233-9301,201014001548,2001548,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,18,Category Set A,Reported
2024-2025,20,KANSAS,KS,Tomahawk Elem,01,,KS-D0233,2010140,KS-D0233-0877,201014001590,2001590,Free and Reduced-price Lunch Table,No Category Codes,162,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Tomahawk Elem,01,,KS-D0233,2010140,KS-D0233-0877,201014001590,2001590,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Tomahawk Elem,01,,KS-D0233,2010140,KS-D0233-0877,201014001590,2001590,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Tomahawk Elem,01,,KS-D0233,2010140,KS-D0233-0877,201014001590,2001590,Free and Reduced-price Lunch Table,Free lunch qualified,125,Category Set A,Reported
2024-2025,20,KANSAS,KS,Tomahawk Elem,01,,KS-D0233,2010140,KS-D0233-0877,201014001590,2001590,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,37,Category Set A,Reported
2024-2025,20,KANSAS,KS,Indian Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0863,201014001601,2001601,Free and Reduced-price Lunch Table,No Category Codes,285,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Indian Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0863,201014001601,2001601,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Indian Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0863,201014001601,2001601,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Indian Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0863,201014001601,2001601,Free and Reduced-price Lunch Table,Free lunch qualified,247,Category Set A,Reported
2024-2025,20,KANSAS,KS,Indian Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0863,201014001601,2001601,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,38,Category Set A,Reported
2024-2025,20,KANSAS,KS,Olathe South Sr High,01,,KS-D0233,2010140,KS-D0233-0865,201014001602,2001602,Free and Reduced-price Lunch Table,No Category Codes,382,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Olathe South Sr High,01,,KS-D0233,2010140,KS-D0233-0865,201014001602,2001602,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Olathe South Sr High,01,,KS-D0233,2010140,KS-D0233-0865,201014001602,2001602,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Olathe South Sr High,01,,KS-D0233,2010140,KS-D0233-0865,201014001602,2001602,Free and Reduced-price Lunch Table,Free lunch qualified,301,Category Set A,Reported
2024-2025,20,KANSAS,KS,Olathe South Sr High,01,,KS-D0233,2010140,KS-D0233-0865,201014001602,2001602,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,81,Category Set A,Reported
2024-2025,20,KANSAS,KS,Prairie Center Elem,01,,KS-D0233,2010140,KS-D0233-0856,201014001617,2001617,Free and Reduced-price Lunch Table,No Category Codes,60,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Prairie Center Elem,01,,KS-D0233,2010140,KS-D0233-0856,201014001617,2001617,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Prairie Center Elem,01,,KS-D0233,2010140,KS-D0233-0856,201014001617,2001617,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Prairie Center Elem,01,,KS-D0233,2010140,KS-D0233-0856,201014001617,2001617,Free and Reduced-price Lunch Table,Free lunch qualified,41,Category Set A,Reported
2024-2025,20,KANSAS,KS,Prairie Center Elem,01,,KS-D0233,2010140,KS-D0233-0856,201014001617,2001617,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,19,Category Set A,Reported
2024-2025,20,KANSAS,KS,Brougham Elem,01,,KS-D0233,2010140,KS-D0233-0849,201014001624,2001624,Free and Reduced-price Lunch Table,No Category Codes,56,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Brougham Elem,01,,KS-D0233,2010140,KS-D0233-0849,201014001624,2001624,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Brougham Elem,01,,KS-D0233,2010140,KS-D0233-0849,201014001624,2001624,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Brougham Elem,01,,KS-D0233,2010140,KS-D0233-0849,201014001624,2001624,Free and Reduced-price Lunch Table,Free lunch qualified,39,Category Set A,Reported
2024-2025,20,KANSAS,KS,Brougham Elem,01,,KS-D0233,2010140,KS-D0233-0849,201014001624,2001624,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,17,Category Set A,Reported
2024-2025,20,KANSAS,KS,Indian Creek Elem,01,,KS-D0233,2010140,KS-D0233-0851,201014001625,2001625,Free and Reduced-price Lunch Table,No Category Codes,203,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Indian Creek Elem,01,,KS-D0233,2010140,KS-D0233-0851,201014001625,2001625,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Indian Creek Elem,01,,KS-D0233,2010140,KS-D0233-0851,201014001625,2001625,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Indian Creek Elem,01,,KS-D0233,2010140,KS-D0233-0851,201014001625,2001625,Free and Reduced-price Lunch Table,Free lunch qualified,167,Category Set A,Reported
2024-2025,20,KANSAS,KS,Indian Creek Elem,01,,KS-D0233,2010140,KS-D0233-0851,201014001625,2001625,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,36,Category Set A,Reported
2024-2025,20,KANSAS,KS,Walnut Grove Elem,01,,KS-D0233,2010140,KS-D0233-0855,201014001626,2001626,Free and Reduced-price Lunch Table,No Category Codes,87,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Walnut Grove Elem,01,,KS-D0233,2010140,KS-D0233-0855,201014001626,2001626,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Walnut Grove Elem,01,,KS-D0233,2010140,KS-D0233-0855,201014001626,2001626,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Walnut Grove Elem,01,,KS-D0233,2010140,KS-D0233-0855,201014001626,2001626,Free and Reduced-price Lunch Table,Free lunch qualified,70,Category Set A,Reported
2024-2025,20,KANSAS,KS,Walnut Grove Elem,01,,KS-D0233,2010140,KS-D0233-0855,201014001626,2001626,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,17,Category Set A,Reported
2024-2025,20,KANSAS,KS,Pioneer Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0857,201014001655,2001655,Free and Reduced-price Lunch Table,No Category Codes,296,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Pioneer Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0857,201014001655,2001655,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Pioneer Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0857,201014001655,2001655,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Pioneer Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0857,201014001655,2001655,Free and Reduced-price Lunch Table,Free lunch qualified,250,Category Set A,Reported
2024-2025,20,KANSAS,KS,Pioneer Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0857,201014001655,2001655,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,46,Category Set A,Reported
2024-2025,20,KANSAS,KS,Briarwood Elem,01,,KS-D0233,2010140,KS-D0233-0853,201014001668,2001668,Free and Reduced-price Lunch Table,No Category Codes,91,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Briarwood Elem,01,,KS-D0233,2010140,KS-D0233-0853,201014001668,2001668,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Briarwood Elem,01,,KS-D0233,2010140,KS-D0233-0853,201014001668,2001668,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Briarwood Elem,01,,KS-D0233,2010140,KS-D0233-0853,201014001668,2001668,Free and Reduced-price Lunch Table,Free lunch qualified,79,Category Set A,Reported
2024-2025,20,KANSAS,KS,Briarwood Elem,01,,KS-D0233,2010140,KS-D0233-0853,201014001668,2001668,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,12,Category Set A,Reported
2024-2025,20,KANSAS,KS,Countryside Elementary,01,,KS-D0233,2010140,KS-D0233-0859,201014001669,2001669,Free and Reduced-price Lunch Table,No Category Codes,209,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Countryside Elementary,01,,KS-D0233,2010140,KS-D0233-0859,201014001669,2001669,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Countryside Elementary,01,,KS-D0233,2010140,KS-D0233-0859,201014001669,2001669,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Countryside Elementary,01,,KS-D0233,2010140,KS-D0233-0859,201014001669,2001669,Free and Reduced-price Lunch Table,Free lunch qualified,179,Category Set A,Reported
2024-2025,20,KANSAS,KS,Countryside Elementary,01,,KS-D0233,2010140,KS-D0233-0859,201014001669,2001669,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,30,Category Set A,Reported
2024-2025,20,KANSAS,KS,Heritage Elementary,01,,KS-D0233,2010140,KS-D0233-0875,201014001670,2001670,Free and Reduced-price Lunch Table,No Category Codes,131,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Heritage Elementary,01,,KS-D0233,2010140,KS-D0233-0875,201014001670,2001670,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Heritage Elementary,01,,KS-D0233,2010140,KS-D0233-0875,201014001670,2001670,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Heritage Elementary,01,,KS-D0233,2010140,KS-D0233-0875,201014001670,2001670,Free and Reduced-price Lunch Table,Free lunch qualified,120,Category Set A,Reported
2024-2025,20,KANSAS,KS,Heritage Elementary,01,,KS-D0233,2010140,KS-D0233-0875,201014001670,2001670,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,11,Category Set A,Reported
2024-2025,20,KANSAS,KS,Frontier Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0847,201014001676,2001676,Free and Reduced-price Lunch Table,No Category Codes,151,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Frontier Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0847,201014001676,2001676,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Frontier Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0847,201014001676,2001676,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Frontier Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0847,201014001676,2001676,Free and Reduced-price Lunch Table,Free lunch qualified,107,Category Set A,Reported
2024-2025,20,KANSAS,KS,Frontier Trail Middle School,01,,KS-D0233,2010140,KS-D0233-0847,201014001676,2001676,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,44,Category Set A,Reported
2024-2025,20,KANSAS,KS,Green Springs Elem,01,,KS-D0233,2010140,KS-D0233-2781,201014001703,2001703,Free and Reduced-price Lunch Table,No Category Codes,45,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Green Springs Elem,01,,KS-D0233,2010140,KS-D0233-2781,201014001703,2001703,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Green Springs Elem,01,,KS-D0233,2010140,KS-D0233-2781,201014001703,2001703,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Green Springs Elem,01,,KS-D0233,2010140,KS-D0233-2781,201014001703,2001703,Free and Reduced-price Lunch Table,Free lunch qualified,35,Category Set A,Reported
2024-2025,20,KANSAS,KS,Green Springs Elem,01,,KS-D0233,2010140,KS-D0233-2781,201014001703,2001703,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,10,Category Set A,Reported
2024-2025,20,KANSAS,KS,Mahaffie Elem,01,,KS-D0233,2010140,KS-D0233-2782,201014001704,2001704,Free and Reduced-price Lunch Table,No Category Codes,196,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Mahaffie Elem,01,,KS-D0233,2010140,KS-D0233-2782,201014001704,2001704,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Mahaffie Elem,01,,KS-D0233,2010140,KS-D0233-2782,201014001704,2001704,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Mahaffie Elem,01,,KS-D0233,2010140,KS-D0233-2782,201014001704,2001704,Free and Reduced-price Lunch Table,Free lunch qualified,154,Category Set A,Reported
2024-2025,20,KANSAS,KS,Mahaffie Elem,01,,KS-D0233,2010140,KS-D0233-2782,201014001704,2001704,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,42,Category Set A,Reported
2024-2025,20,KANSAS,KS,Pleasant Ridge Elem,01,,KS-D0233,2010140,KS-D0233-2783,201014001705,2001705,Free and Reduced-price Lunch Table,No Category Codes,64,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Pleasant Ridge Elem,01,,KS-D0233,2010140,KS-D0233-2783,201014001705,2001705,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Pleasant Ridge Elem,01,,KS-D0233,2010140,KS-D0233-2783,201014001705,2001705,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Pleasant Ridge Elem,01,,KS-D0233,2010140,KS-D0233-2783,201014001705,2001705,Free and Reduced-price Lunch Table,Free lunch qualified,51,Category Set A,Reported
2024-2025,20,KANSAS,KS,Pleasant Ridge Elem,01,,KS-D0233,2010140,KS-D0233-2783,201014001705,2001705,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,13,Category Set A,Reported
2024-2025,20,KANSAS,KS,Arbor Creek Elementary,01,,KS-D0233,2010140,KS-D0233-9302,201014001718,2001718,Free and Reduced-price Lunch Table,No Category Codes,46,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Arbor Creek Elementary,01,,KS-D0233,2010140,KS-D0233-9302,201014001718,2001718,Direct Certification,Not Applicable,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Arbor Creek Elementary,01,,KS-D0233,2010140,KS-D0233-9302,201014001718,2001718,Free and Reduced-price Lunch Table,Missing,0,Category Set A,Reported
2024-2025,20,KANSAS,KS,Arbor Creek Elementary,01,,KS-D0233,2010140,KS-D0233-9302,201014001718,2001718,Free and Reduced-price Lunch Table,Free lunch qualified,42,Category Set A,Reported
2024-2025,20,KANSAS,KS,Arbor Creek Elementary,01,,KS-D0233,2010140,KS-D0233-9302,201014001718,2001718,Free and Reduced-price Lunch Table,Reduced-price lunch qualified,4,Category Set A,Reported
2024-2025,20,KANSAS,KS,Manchester Park Elementary,01,,KS-D0233,2010140,KS-D0233-9304,201014001759,2001759,Free and Reduced-price Lunch Table,No Category Codes,34,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Manchester Park Elementary,01,,KS-D0233,2010140,KS-D0233-9304,201014001759,2001759,Direct Certification,Not Applicable,,Education Unit Total,Not reported
