SCHOOL_YEAR,FIPST,STATENAME,ST,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2024-2025,29,MISSOURI,MO,DIVISION OF YOUTH SERVICE,01,,MO-347347,2900009,Guidance Counselors,0.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,DIVISION OF YOUTH SERVICE,01,,MO-347347,2900009,LEA Staff,5.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,DIVISION OF YOUTH SERVICE,01,,MO-347347,2900009,Other Staff,0.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,DIVISION OF YOUTH SERVICE,01,,MO-347347,2900009,School Staff,1.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,DIVISION OF YOUTH SERVICE,01,,MO-347347,2900009,Teachers,74.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,DIVISION OF YOUTH SERVICE,01,,MO-347347,2900009,No Category Codes,80.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,All Other Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,Elementary School Counselors,1.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,Elementary Teachers,73.12,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,Instructional Coordinators and Supervisors to the Staff,4.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,Kindergarten Teachers,7.58,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,LEA Administrative Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,LEA Administrators,1.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,Librarians/media specialists,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,Library/Media Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,Paraprofessionals/Instructional Aides,4.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,Pre-kindergarten Teachers,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,School Administrative Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,School administrators,3.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,School Psychologists,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,Secondary School Counselors,2.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,Secondary Teachers,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,Student Support Services Staff (w/o Psychology),14.75,Category Set A,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,Guidance Counselors,3.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,LEA Staff,5.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,Other Staff,0.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,School Staff,21.75,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,Teachers,80.70,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL ACADEMY,01,,MO-048912,2900013,No Category Codes,110.45,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,All Other Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,Elementary School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,Elementary Teachers,33.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,Instructional Coordinators and Supervisors to the Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,Kindergarten Teachers,3.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,LEA Administrative Support Staff,7.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,LEA Administrators,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,Librarians/media specialists,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,Library/Media Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,Paraprofessionals/Instructional Aides,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,Pre-kindergarten Teachers,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,School Administrative Support Staff,1.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,School administrators,5.50,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,School Counselors,3.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,School Psychologists,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,Secondary School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,Secondary Teachers,55.50,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,Student Support Services Staff (w/o Psychology),4.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,Guidance Counselors,3.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,LEA Staff,7.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,Other Staff,0.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,School Staff,10.50,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,Teachers,91.50,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,No Category Codes,112.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,All Other Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,Elementary School Counselors,0.75,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,Elementary Teachers,10.26,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,Instructional Coordinators and Supervisors to the Staff,2.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,Kindergarten Teachers,2.74,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,LEA Administrative Support Staff,2.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,LEA Administrators,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,Librarians/media specialists,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,Library/Media Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,Paraprofessionals/Instructional Aides,7.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,Pre-kindergarten Teachers,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,School Administrative Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,School administrators,1.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,School Psychologists,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,Secondary School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,Secondary Teachers,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,Student Support Services Staff (w/o Psychology),0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,Guidance Counselors,0.75,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,LEA Staff,4.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,Other Staff,0.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,School Staff,8.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,Teachers,13.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,No Category Codes,25.75,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,All Other Support Staff,1.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,Elementary School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,Elementary Teachers,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,Instructional Coordinators and Supervisors to the Staff,1.50,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,Kindergarten Teachers,1.11,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,LEA Administrative Support Staff,4.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,LEA Administrators,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,Librarians/media specialists,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,Library/Media Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,Paraprofessionals/Instructional Aides,8.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,Pre-kindergarten Teachers,1.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,School Administrative Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,School administrators,2.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,School Psychologists,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,Secondary School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,Secondary Teachers,16.89,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,Student Support Services Staff (w/o Psychology),7.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,Guidance Counselors,0.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,LEA Staff,5.50,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,Other Staff,1.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,School Staff,17.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,Teachers,19.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,No Category Codes,42.50,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,All Other Support Staff,16.25,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,Elementary School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,Elementary Teachers,59.61,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,Instructional Coordinators and Supervisors to the Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,Kindergarten Teachers,11.79,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,LEA Administrative Support Staff,20.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,LEA Administrators,1.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,Librarians/media specialists,2.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,Library/Media Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,Paraprofessionals/Instructional Aides,2.75,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,Pre-kindergarten Teachers,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,School Administrative Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,School administrators,6.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,School Counselors,1.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,School Psychologists,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,Secondary School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,Secondary Teachers,46.40,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,Student Support Services Staff (w/o Psychology),9.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,Guidance Counselors,1.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,LEA Staff,21.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,Other Staff,16.25,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,School Staff,19.75,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,Teachers,117.80,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE,01,,MO-048914,2900017,No Category Codes,175.80,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,All Other Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,Elementary School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,Elementary Teachers,21.68,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,Instructional Coordinators and Supervisors to the Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,Kindergarten Teachers,2.32,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,LEA Administrative Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,LEA Administrators,1.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,Librarians/media specialists,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,Library/Media Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,Paraprofessionals/Instructional Aides,13.60,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,Pre-kindergarten Teachers,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,School Administrative Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,School administrators,2.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,School Psychologists,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,Secondary School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,Secondary Teachers,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,Student Support Services Staff (w/o Psychology),0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,Guidance Counselors,0.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,LEA Staff,1.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,Other Staff,0.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,School Staff,15.60,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,Teachers,24.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA,01,,MO-048915,2900019,No Category Codes,40.60,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,All Other Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,Elementary School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,Elementary Teachers,128.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,Instructional Coordinators and Supervisors to the Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,Kindergarten Teachers,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,LEA Administrative Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,LEA Administrators,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,Librarians/media specialists,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,Library/Media Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,Paraprofessionals/Instructional Aides,1.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,Pre-kindergarten Teachers,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,School Administrative Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,School administrators,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,School Psychologists,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,Secondary School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,Secondary Teachers,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,Student Support Services Staff (w/o Psychology),0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,Guidance Counselors,0.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,LEA Staff,0.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,Other Staff,0.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,School Staff,1.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,Teachers,128.00,Derived - Major Staffing Category,Derived
2024-2025,29,MISSOURI,MO,MO SCHLS FOR THE SEV DISABLED,01,,MO-201201,2900022,No Category Codes,129.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,All Other Support Staff,17.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,Elementary School Counselors,3.10,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,Elementary Teachers,46.47,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,Instructional Coordinators and Supervisors to the Staff,4.10,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,Kindergarten Teachers,7.43,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,LEA Administrative Support Staff,5.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,LEA Administrators,1.90,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,Librarians/media specialists,1.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,Library/Media Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,Paraprofessionals/Instructional Aides,10.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,Pre-kindergarten Teachers,2.50,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,School Administrative Support Staff,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,School administrators,6.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,School Counselors,0.00,Category Set A,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER SCH.,01,,MO-048916,2900024,School Psychologists,0.00,Category Set A,Reported
