SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,TEACHERS,TOTAL_INDICATOR,DMS_FLAG
2024-2025,20,KANSAS,KS,Piper High,01,,KS-D0203,2010680,KS-D0203-0190,201068000026,2000026,61.58,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Piper Middle,01,,KS-D0203,2010680,KS-D0203-0189,201068001681,2001681,48.97,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Piper Prairie Elementary,01,,KS-D0203,2010680,KS-D0203-0181,201068001937,2001937,35.16,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Piper Creek Elementary,01,,KS-D0203,2010680,KS-D0203-0187,201068002041,2002041,39.20,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Sunflower Elem,01,,KS-D0512,2011640,KS-D0512-8857,201164000932,2000932,27.79,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,East Antioch Elem,01,,KS-D0512,2011640,KS-D0512-8774,201164001516,2001516,21.10,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Apache Elem,01,,KS-D0512,2011640,KS-D0512-8776,201164001518,2001518,35.48,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Belinder Elem,01,,KS-D0512,2011640,KS-D0512-8782,201164001521,2001521,29.53,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Bluejacket-Flint,01,,KS-D0512,2011640,KS-D0512-8784,201164001522,2001522,29.87,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Briarwood Elem,01,,KS-D0512,2011640,KS-D0512-8786,201164001523,2001523,40.04,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Brookridge Elem,01,,KS-D0512,2011640,KS-D0512-8788,201164001524,2001524,35.75,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Brookwood Elem,01,,KS-D0512,2011640,KS-D0512-8790,201164001525,2001525,28.95,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Comanche Elem,01,,KS-D0512,2011640,KS-D0512-8793,201164001527,2001527,28.26,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Corinth Elem,01,,KS-D0512,2011640,KS-D0512-8794,201164001528,2001528,31.52,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Crestview Elem,01,,KS-D0512,2011640,KS-D0512-8796,201164001529,2001529,29.44,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Highlands Elem,01,,KS-D0512,2011640,KS-D0512-8806,201164001534,2001534,26.57,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,John Diemer Elem,01,,KS-D0512,2011640,KS-D0512-8808,201164001535,2001535,28.91,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Shawanoe Elem,01,,KS-D0512,2011640,KS-D0512-8812,201164001537,2001537,34.01,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Ray Marsh Elem,01,,KS-D0512,2011640,KS-D0512-8816,201164001539,2001539,30.20,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Mill Creek Elem,01,,KS-D0512,2011640,KS-D0512-8819,201164001542,2001542,29.87,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Nieman Elem,01,,KS-D0512,2011640,KS-D0512-8822,201164001544,2001544,31.15,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Overland Park Elem,01,,KS-D0512,2011640,KS-D0512-8826,201164001546,2001546,25.81,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Pawnee Elem,01,,KS-D0512,2011640,KS-D0512-8828,201164001547,2001547,28.29,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Prairie Elem,01,,KS-D0512,2011640,KS-D0512-8832,201164001549,2001549,26.88,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Rhein Benninghoven Elem,01,,KS-D0512,2011640,KS-D0512-8834,201164001550,2001550,28.01,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Roesland Elem,01,,KS-D0512,2011640,KS-D0512-8838,201164001552,2001552,23.26,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Rosehill Elem,01,,KS-D0512,2011640,KS-D0512-8842,201164001554,2001554,30.72,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Rushton Elem,01,,KS-D0512,2011640,KS-D0512-8844,201164001555,2001555,22.83,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Santa Fe Trail Elem,01,,KS-D0512,2011640,KS-D0512-8846,201164001556,2001556,24.58,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Tomahawk Elem,01,,KS-D0512,2011640,KS-D0512-8858,201164001560,2001560,23.43,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Trailwood Elem,01,,KS-D0512,2011640,KS-D0512-8860,201164001561,2001561,28.44,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Westwood View Elem,01,,KS-D0512,2011640,KS-D0512-8864,201164001563,2001563,20.67,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Westridge Middle,01,,KS-D0512,2011640,KS-D0512-8868,201164001565,2001565,57.66,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Hocker Grove Middle,01,,KS-D0512,2011640,KS-D0512-8870,201164001566,2001566,53.03,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Indian Hills Middle,01,,KS-D0512,2011640,KS-D0512-8874,201164001568,2001568,57.87,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Indian Woods Middle,01,,KS-D0512,2011640,KS-D0512-8880,201164001571,2001571,52.08,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Trailridge Middle,01,,KS-D0512,2011640,KS-D0512-8884,201164001573,2001573,53.06,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Shawnee Mission East High,01,,KS-D0512,2011640,KS-D0512-8886,201164001574,2001574,106.91,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Shawnee Mission North High,01,,KS-D0512,2011640,KS-D0512-8888,201164001575,2001575,99.48,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Shawnee Mission Northwest High,01,,KS-D0512,2011640,KS-D0512-8890,201164001576,2001576,103.19,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Shawnee Mission South High,01,,KS-D0512,2011640,KS-D0512-8892,201164001577,2001577,100.41,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Shawnee Mission West High,01,,KS-D0512,2011640,KS-D0512-8894,201164001578,2001578,105.05,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Christa McAuliffe Elem,01,,KS-D0512,2011640,KS-D0512-8791,201164001656,2001656,29.86,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Broken Arrow Elem,01,,KS-D0512,2011640,KS-D0512-8787,201164001682,2001682,29.71,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Rising Star Elem,01,,KS-D0512,2011640,KS-D0512-8836,201164001683,2001683,32.76,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Oak Park-Carpenter Elementary,01,,KS-D0512,2011640,KS-D0512-8824,201164001893,2001893,30.80,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Merriam Park Elementary,01,,KS-D0512,2011640,KS-D0512-8815,201164001897,2001897,28.30,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Lenexa Hills Elementary,01,,KS-D0512,2011640,KS-D0512-8805,201164002106,2002106,21.56,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Project Finish,01,,KS-D0512,2011640,KS-D0512-8809,201164002167,2002167,,Education Unit Total,Not reported
2024-2025,20,KANSAS,KS,Spring Hill High School,01,,KS-D0230,2011850,KS-D0230-0790,201185000118,2000118,78.15,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Spring Hill Middle School,01,,KS-D0230,2011850,KS-D0230-0792,201185000119,2000119,27.98,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Prairie Creek Elementary,01,,KS-D0230,2011850,KS-D0230-0793,201185001852,2001852,28.99,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Spring Hill Elementary School,01,,KS-D0230,2011850,KS-D0230-0787,201185001885,2001885,44.48,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Insight School of Kansas,01,,KS-D0230,2011850,KS-D0230-0794,201185001918,2001918,34.46,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Kansas Virtual Academy (KSVA),01,,KS-D0230,2011850,KS-D0230-0931,201185002068,2002068,18.01,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Wolf Creek Elementary School,01,,KS-D0230,2011850,KS-D0230-0929,201185002072,2002072,25.50,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Timber Sage Elementary School,01,,KS-D0230,2011850,KS-D0230-0951,201185002108,2002108,28.98,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Woodland Spring Middle School,01,,KS-D0230,2011850,KS-D0230-0954,201185002111,2002111,24.97,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Dayton Creek Elementary School,01,,KS-D0230,2011850,KS-D0230-0957,201185002121,2002121,22.50,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Forest Spring Middle School,01,,KS-D0230,2011850,KS-D0230-1333,201185002177,2002177,23.20,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Harmony Middle,01,,KS-D0229,2012000,KS-D0229-0784,201200000012,2000012,39.61,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Harmony Elementary,01,,KS-D0229,2012000,KS-D0229-0785,201200000033,2000033,37.12,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Stanley Elementary,01,,KS-D0229,2012000,KS-D0229-0768,201200000111,2000111,30.42,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Blue Valley High,01,,KS-D0229,2012000,KS-D0229-0770,201200000112,2000112,92.53,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Stilwell Elementary,01,,KS-D0229,2012000,KS-D0229-0774,201200000114,2000114,21.96,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Blue Valley Middle,01,,KS-D0229,2012000,KS-D0229-0776,201200000115,2000115,44.24,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Prairie Star Elementary,01,,KS-D0229,2012000,KS-D0229-7773,201200000534,2000534,28.42,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Blue Valley Northwest High,01,,KS-D0229,2012000,KS-D0229-7774,201200000541,2000541,100.10,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Heartland Elementary,01,,KS-D0229,2012000,KS-D0229-7775,201200000892,2000892,31.12,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Prairie Star Middle,01,,KS-D0229,2012000,KS-D0229-7776,201200000994,2000994,36.55,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Blue River Elementary,01,,KS-D0229,2012000,KS-D0229-7786,201200001269,2001269,35.94,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Pleasant Ridge Middle,01,,KS-D0229,2012000,KS-D0229-7787,201200001291,2001291,41.56,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Sunset Ridge Elementary,01,,KS-D0229,2012000,KS-D0229-7788,201200001400,2001400,31.22,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Lakewood Elementary,01,,KS-D0229,2012000,KS-D0229-0756,201200001473,2001473,33.18,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Blue Valley West High,01,,KS-D0229,2012000,KS-D0229-7777,201200001533,2001533,103.93,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Leawood Elementary,01,,KS-D0229,2012000,KS-D0229-0773,201200001582,2001582,36.15,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Morse Elementary,01,,KS-D0229,2012000,KS-D0229-0771,201200001593,2001593,28.12,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Indian Valley Elementary,01,,KS-D0229,2012000,KS-D0229-0780,201200001605,2001605,32.42,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Leawood Middle,01,,KS-D0229,2012000,KS-D0229-0778,201200001606,2001606,37.17,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Blue Valley North High,01,,KS-D0229,2012000,KS-D0229-0769,201200001644,2001644,96.83,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Valley Park Elementary,01,,KS-D0229,2012000,KS-D0229-0772,201200001645,2001645,47.92,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Oak Hill Elementary,01,,KS-D0229,2012000,KS-D0229-0782,201200001657,2001657,31.32,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Oxford Middle,01,,KS-D0229,2012000,KS-D0229-0767,201200001671,2001671,45.87,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Mission Trail Elementary,01,,KS-D0229,2012000,KS-D0229-0777,201200001677,2001677,29.12,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Cottonwood Point Elementary,01,,KS-D0229,2012000,KS-D0229-0783,201200001684,2001684,28.62,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Overland Trail Elementary,01,,KS-D0229,2012000,KS-D0229-0779,201200001685,2001685,38.72,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Overland Trail Middle,01,,KS-D0229,2012000,KS-D0229-0781,201200001686,2001686,44.49,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Lakewood Middle,01,,KS-D0229,2012000,KS-D0229-0757,201200001700,2001700,41.38,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Liberty View Elementary,01,,KS-D0229,2012000,KS-D0229-0765,201200001715,2001715,33.43,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Cedar Hills Elementary,01,,KS-D0229,2012000,KS-D0229-0758,201200001757,2001757,40.12,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Sunrise Point Elementary,01,,KS-D0229,2012000,KS-D0229-7790,201200001841,2001841,34.12,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Timber Creek Elementary School,01,,KS-D0229,2012000,KS-D0229-0759,201200001934,2001934,37.42,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Blue Valley Southwest High School,01,,KS-D0229,2012000,KS-D0229-0820,201200001990,2001990,77.17,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Aubry Bend Middle School,01,,KS-D0229,2012000,KS-D0229-0823,201200002045,2002045,55.76,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Wolf Springs Elementary School,01,,KS-D0229,2012000,KS-D0229-0937,201200002098,2002098,39.96,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Blue Valley Virtual Program,01,,KS-D0229,2012000,KS-D0229-1319,201200002168,2002168,3.30,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Aspen Grove Elementary,01,,KS-D0229,2012000,KS-D0229-1370,201200002178,2002178,17.46,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Tonganoxie High,01,,KS-D0464,2012210,KS-D0464-7298,201221001205,2001205,47.90,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Tonganoxie Elem,01,,KS-D0464,2012210,KS-D0464-7300,201221001864,2001864,63.20,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Tonganoxie Middle School,01,,KS-D0464,2012210,KS-D0464-7299,201221001865,2001865,32.32,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Junction Elementary,01,,KS-D0202,2012360,KS-D0202-0154,201236000017,2000017,18.83,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Oak Grove Elem,01,,KS-D0202,2012360,KS-D0202-0160,201236000020,2000020,34.88,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Turner Elem,01,,KS-D0202,2012360,KS-D0202-0164,201236000022,2000022,39.88,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Turner High,01,,KS-D0202,2012360,KS-D0202-0168,201236000024,2000024,78.24,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Midland Trail,01,,KS-D0202,2012360,KS-D0202-0157,201236001475,2001475,36.88,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Turner Middle School,01,,KS-D0202,2012360,KS-D0202-0167,201236001520,2001520,41.31,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Turner Sixth Grade Academy,01,,KS-D0202,2012360,KS-D0202-0155,201236001859,2001859,19.32,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Beyond the Bell,01,,KS-D0202,2012360,KS-D0202-0984,201236002119,2002119,,Education Unit Total,Not reported
2024-2025,29,MISSOURI,MO,NORTHWEST REG. YOUTH CTR.,01,,MO-347347,2900009,MO-347347-1065347347,290000901270,2901270,3.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LANGSFORD HOUSE,01,,MO-347347,2900009,MO-347347-1083347347,290000901285,2901285,1.50,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ALTERNATIVE RESOURCE CTR.,01,,MO-347347,2900009,MO-347347-1084347347,290000901287,2901287,1.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,WATKINS MILL PARK CAMP,01,,MO-347347,2900009,MO-347347-1085347347,290000901289,2901289,7.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,STAR School,01,,MO-347347,2900009,MO-347347-1066347347,290000901593,2901593,0.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KC INTERNATIONAL-WALLACE,01,,MO-048912,2900013,MO-048912-6930048912,290001302751,2902751,80.70,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY,01,,MO-048904,2900014,MO-048904-1935048904,290001402743,2902743,35.50,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACAD MIDDLE,01,,MO-048904,2900014,MO-048904-3945048904,290001403196,2903196,20.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HOGAN PREPARATORY ACADEMY ELEM,01,,MO-048904,2900014,MO-048904-6910048904,290001403222,2903222,36.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GORDON PARKS ELEM.,01,,MO-048913,2900015,MO-048913-6935048913,290001502752,2902752,13.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GENESIS SCHOOL INC.,01,,MO-048905,2900016,MO-048905-1945048905,290001602746,2902746,19.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,Academie Lafayette Oak Elem,01,,MO-048914,2900017,MO-048914-6940048914,290001702753,2902753,38.75,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE CHERRY ELEM,01,,MO-048914,2900017,MO-048914-6941048914,290001703259,2903259,32.65,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,Academie Lafayette Armour IMS,01,,MO-048914,2900017,MO-048914-1910048914,290001703331,2903331,25.15,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ACADEMIE LAFAYETTE ARMOUR IHS,01,,MO-048914,2900017,MO-048914-1920048914,290001703394,2903394,21.25,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,SCUOLA VITA NUOVA CHARTER,01,,MO-048915,2900019,MO-048915-6945048915,290001902754,2902754,24.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LAKEVIEW WOODS SCHOOL,01,,MO-201201,2900022,MO-201201-9006201201,290002203045,2903045,3.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,MAPLE VALLEY SCHOOL,01,,MO-201201,2900022,MO-201201-9009201201,290002203048,2903048,6.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,B W SHEPERD SCHOOL,01,,MO-201201,2900022,MO-201201-9012201201,290002203051,2903051,0.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,BRIARWOOD SCHOOL,01,,MO-201201,2900022,MO-201201-9045201201,290002203066,2903066,2.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,DALE M THOMPSON/TRAILS WEST S,01,,MO-201201,2900022,MO-201201-9075201201,290002203076,2903076,4.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER ELEMENTARY,01,,MO-048916,2900024,MO-048916-6950048916,290002402838,2902838,56.40,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,BROOKSIDE CHARTER MIDDLE SCHL,01,,MO-048916,2900024,MO-048916-3950048916,290002403184,2903184,25.60,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ALLEN VILLAGE ELEMENTARY ACADE,01,,MO-048909,2900025,MO-048909-6915048909,290002502748,2902748,7.87,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ALLEN VILLAGE HIGH SCHOOL,01,,MO-048909,2900025,MO-048909-1980048909,290002503233,2903233,11.02,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ALLEN VILLAGE JUNIOR ACADEMY,01,,MO-048909,2900025,MO-048909-3930048909,290002503325,2903325,6.26,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ALLEN VILLAGE PRIMARY ACADEMY,01,,MO-048909,2900025,MO-048909-6905048909,290002503327,2903327,4.33,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ALLEN VILLAGE PRESCHOOL,01,,MO-048909,2900025,MO-048909-7500048909,290002503379,2903379,0.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,UNIVERSITY ACADEMY-UPPER,01,,MO-048901,2900027,MO-048901-1915048901,290002702808,2902808,18.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,UNIVERSITY ACADEMY-MIDDLE,01,,MO-048901,2900027,MO-048901-3925048901,290002702914,2902914,21.30,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,UNIVERSITY ACADEMY-LOWER,01,,MO-048901,2900027,MO-048901-6965048901,290002702915,2902915,39.20,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,LEE A. TOLBERT COM. ACADEMY,01,,MO-048910,2900028,MO-048910-6920048910,290002802749,2902749,32.90,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GUADALUPE CENTERS HIGH SCHOOL,01,,MO-048902,2900029,MO-048902-1925048902,290002902741,2902741,41.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GUADALUPE CENTERS MIDDLE,01,,MO-048902,2900029,MO-048902-3925048902,290002903166,2903166,33.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GUADALUPE CENTERS ELEMENTARY,01,,MO-048902,2900029,MO-048902-6905048902,290002903216,2903216,74.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KIPP ENDEAVOR ACADEMY,01,,MO-048918,2900031,MO-048918-3920048918,290003103013,2903013,68.20,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KIPP KC LEGACY HIGH SCHOOL,01,,MO-048918,2900031,MO-048918-1050048918,290003103395,2903395,31.40,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHOOL OF INNOVATION,01,,MO-048922,2900590,MO-048922-6975048922,290059003127,2903127,57.23,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF EXCELLENCE-M,01,,MO-048922,2900590,MO-048922-3940048922,290059003180,2903180,13.64,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF EXCELLENCE-U,01,,MO-048922,2900590,MO-048922-1920048922,290059003181,2903181,20.56,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRONTIER SCHL OF INNOVATION-M,01,,MO-048922,2900590,MO-048922-3935048922,290059003182,2903182,34.97,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRONTIER STEM HIGH SCHOOL,01,,MO-048922,2900590,MO-048922-1985048922,290059003232,2903232,39.10,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,DeLaSalle Charter High School,01,,MO-048923,2900593,MO-048923-1970048923,290059303176,2903176,12.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,Jackson County Juvenile Ctr.,01,,MO-048923,2900593,MO-048923-1015048923,290059303436,2903436,1.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,Ewing Marion Kauffman Middle,01,,MO-048924,2900597,MO-048924-3930048924,290059703195,2903195,57.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,EWING MARION KAUFFMAN HIGH,01,,MO-048924,2900597,MO-048924-1910048924,290059703277,2903277,40.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,HOPE LEADERSHIP ACADEMY,01,,MO-048925,2900601,MO-048925-6985048925,290060103194,2903194,13.35,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS - CENTRAL STREET,01,,MO-048926,2900603,MO-048926-6990048926,290060303201,2903201,31.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS - QUALITY HILL,01,,MO-048926,2900603,MO-048926-6905048926,290060303295,2903295,23.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CROSSROADS PREPARATORY ACADEMY,01,,MO-048926,2900603,MO-048926-1905048926,290060303311,2903311,38.50,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ACADEMY FOR INTEGRATED ARTS,01,,MO-048927,2900604,MO-048927-6995048927,290060403209,2903209,26.00,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ELEMENTARY SCHOOL,01,,MO-048928,2900612,MO-048928-6905048928,290061203286,2903286,19.61,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,MIDDLE SCHOOL,01,,MO-048928,2900612,MO-048928-3905048928,290061203365,2903365,10.39,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KANSAS CITY GIRLS PREP MIDDLE,01,,MO-048929,2900615,MO-048929-3945048929,290061503364,2903364,24.99,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ARCHIE ELEMENTARY,01,,MO-019139,2903200,MO-019139-4020019139,290320000024,2900024,19.70,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,ARCHIE HIGH SCHOOL,01,,MO-019139,2903200,MO-019139-1050019139,290320000025,2900025,25.42,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CAMBRIDGE ELEM.,01,,MO-019152,2904620,MO-019152-4020019152,290462000051,2900051,31.14,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GLADDEN ELEM.,01,,MO-019152,2904620,MO-019152-4060019152,290462000052,2900052,28.18,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,Wilckens STEAM Acad @Hillcrest,01,,MO-019152,2904620,MO-019152-4040019152,290462000053,2900053,32.78,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,BELTON HIGH,01,,MO-019152,2904620,MO-019152-1050019152,290462000055,2900055,91.98,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,MILL CREEK UPPER ELEM.,01,,MO-019152,2904620,MO-019152-4080019152,290462002724,2902724,28.91,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,GRACE EARLY CHILD.  ED. CTR.,01,,MO-019152,2904620,MO-019152-7500019152,290462002725,2902725,15.63,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,KENTUCKY TRAIL ELEM.,01,,MO-019152,2904620,MO-019152-4090019152,290462002988,2902988,29.14,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,BELTON MIDDLE SCHOOL,01,,MO-019152,2904620,MO-019152-1055019152,290462003025,2903025,48.27,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,CORDILL-MASON ELEM.,01,,MO-048068,2905310,MO-048068-4080048068,290531000078,2900078,50.90,Education Unit Total,Reported
2024-2025,29,MISSOURI,MO,FRANKLIN SMITH ELEM.,01,,MO-048068,2905310,MO-048068-4040048068,290531000080,2900080,33.00,Education Unit Total,Reported
