SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,TEACHERS,TOTAL_INDICATOR,DMS_FLAG
2024-2025,20,KANSAS,KS,Moonlight Elementary School,01,,KS-D0231,2006420,KS-D0231-0815,200642001716,2001716,26.70,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Madison Elementary,01,,KS-D0231,2006420,KS-D0231-0816,200642001780,2001780,38.15,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Pioneer Ridge Middle School,01,,KS-D0231,2006420,KS-D0231-0817,200642001824,2001824,44.40,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Nike Elementary,01,,KS-D0231,2006420,KS-D0231-0818,200642001825,2001825,29.95,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Wheatridge Middle School,01,,KS-D0231,2006420,KS-D0231-0819,200642001878,2001878,45.00,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Grand Star Elementary,01,,KS-D0231,2006420,KS-D0231-0927,200642002070,2002070,36.40,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Trail Ridge Middle School,01,,KS-D0231,2006420,KS-D0231-0936,200642002076,2002076,55.00,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Banneker Elem,01,,KS-D0500,2007950,KS-D0500-8279,200795001388,2001388,20.32,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Silver City Elem,01,,KS-D0500,2007950,KS-D0500-8282,200795001390,2001390,33.94,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Chelsea Elem,01,,KS-D0500,2007950,KS-D0500-8284,200795001392,2001392,33.62,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Douglass Elem,01,,KS-D0500,2007950,KS-D0500-8285,200795001393,2001393,25.18,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Thomas A Edison Elem,01,,KS-D0500,2007950,KS-D0500-8287,200795001394,2001394,22.18,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Emerson Elem,01,,KS-D0500,2007950,KS-D0500-8288,200795001395,2001395,16.45,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,John Fiske Elem,01,,KS-D0500,2007950,KS-D0500-8290,200795001397,2001397,20.32,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Grant Elem,01,,KS-D0500,2007950,KS-D0500-8292,200795001398,2001398,21.36,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Bertram Caruthers Elem,01,,KS-D0500,2007950,KS-D0500-8293,200795001399,2001399,23.36,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Mark Twain Elem,01,,KS-D0500,2007950,KS-D0500-8298,200795001401,2001401,18.02,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Noble Prentis Elem,01,,KS-D0500,2007950,KS-D0500-8303,200795001405,2001405,16.47,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Quindaro Elem,01,,KS-D0500,2007950,KS-D0500-8305,200795001406,2001406,23.18,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Frank Rushton Elem,01,,KS-D0500,2007950,KS-D0500-8308,200795001408,2001408,23.94,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,New Stanley Elem,01,,KS-D0500,2007950,KS-D0500-8309,200795001409,2001409,20.42,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Eugene Ware Elem,01,,KS-D0500,2007950,KS-D0500-8311,200795001410,2001410,19.53,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Frances Willard Elem,01,,KS-D0500,2007950,KS-D0500-8315,200795001413,2001413,33.62,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Central Middle,01,,KS-D0500,2007950,KS-D0500-8316,200795001414,2001414,41.46,Education Unit Total,Reported
2024-2025,20,KANSAS,KS,Carl B. Bruce Middle School,01,,KS-D0500,2007950,KS-D0500-8317,200795001415,2001415,53.59,Education Unit Total,Reported
