dimension,period,start_year,end_year,enrollment_start,enrollment_end,enrollment_change_abs,enrollment_change_pct,teacher_fte_start,teacher_fte_end,teacher_fte_change_abs,teacher_fte_change_pct,ratio_start,ratio_end,ratio_change_abs,ratio_change_pct,para_fte_start,para_fte_end,para_fte_change_abs,para_fte_change_pct,combined_ratio_start,combined_ratio_end,combined_ratio_change_abs,combined_ratio_change_pct,accounting_decomposition
Locale_Suburb,Full_Decade_2014_to_2024,2014-2015,2024-2025,138849,127583,-11266,-8.11,8782.64,9011.67,229.03,2.61,15.81,14.16,-1.65,-10.45,,,,,,,,,Enrollment Contraction
Locale_Suburb,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,138849,132048,-6801,-4.9,8782.64,8701.0,-81.64,-0.93,15.81,15.18,-0.63,-4.01,,,,,,,,,Enrollment Contraction
Locale_Suburb,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,132048,128876,-3172,-2.4,8701.0,8681.96,-19.04,-0.22,15.18,14.84,-0.33,-2.19,,,,,,,,,Enrollment Contraction
Locale_Suburb,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,128876,127583,-1293,-1.0,8681.96,9011.67,329.71,3.8,14.84,14.16,-0.69,-4.63,,,,,,,,,Staffing Expansion
Locale_Town,Full_Decade_2014_to_2024,2014-2015,2024-2025,31627,29332,-2295,-7.26,2100.66,2099.41,-1.25,-0.06,15.06,13.97,-1.08,-7.2,,,,,,,,,Enrollment Contraction
Locale_Town,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,31627,29946,-1681,-5.32,2100.66,2006.26,-94.4,-4.49,15.06,14.93,-0.13,-0.86,,,,,,,,,Mixed
Locale_Town,Pandemic_Shock_2019_to_2020,2019-2020,2020-2021,29946,28777,-1169,-3.9,2006.26,2040.12,33.86,1.69,14.93,14.11,-0.82,-5.5,,,,,,,,,Enrollment Contraction
Locale_Town,Post_Pandemic_2020_to_2024,2020-2021,2024-2025,28777,29332,555,1.93,2040.12,2099.41,59.29,2.91,14.11,13.97,-0.13,-0.95,,,,,,,,,Staffing Outpaced Enrollment Growth
Locale_Rural,Full_Decade_2014_to_2024,2014-2015,2024-2025,42333,40676,-1657,-3.91,2789.6,2935.3,145.7,5.22,15.18,13.86,-1.32,-8.68,,,,,,,,,Joint Staffing Expansion & Enrollment Contraction
Locale_Rural,Pre_Pandemic_2014_to_2019,2014-2015,2019-2020,42333,48257,5924,13.99,2789.6,3217.67,428.07,15.35,15.18,15.0,-0.18,-1.17,,,,,,,,,Staffing Outpaced Enrollment Growth
