crdc_wave,course_name,subject_area,course_level,schools_reporting,total_classes,total_enrolled,class_weighted_mean_size,unweighted_mean_size,median_size,p25_size,p75_size,matched_class_weighted_ptr,class_weighted_allocation_wedge,school_unweighted_mean_ptr,school_unweighted_median_ptr,school_unweighted_mean_wedge,school_unweighted_median_wedge,certified_teacher_pct
2021-22,Chemistry,Science,Foundation Core,91,1025,17678,17.25,17.12,17.46,14.33,20.05,16.13,1.11,15.59,16.11,1.65,1.68,
2021-22,Advanced Mathematics,Math,Advanced / Specialized,83,831,13086,15.75,14.83,14.27,10.31,18.98,16.66,-0.91,15.54,16.07,-0.55,-1.87,
2021-22,Physics,Science,Advanced / Specialized,80,436,7266,16.67,15.76,16.0,11.0,20.53,16.45,0.21,15.85,16.26,-0.11,-0.77,
2021-22,Calculus,Math,Advanced / Specialized,66,194,2486,12.81,12.69,12.0,7.02,16.67,16.5,-3.68,15.78,16.36,-3.07,-3.98,
2023-24,Algebra I,Math,Foundation Core,104,1329,23226,17.48,18.4,18.0,12.47,22.24,16.14,1.34,14.31,15.38,4.3,3.83,
2023-24,Geometry,Math,Foundation Core,100,1219,23067,18.92,19.23,19.11,14.0,24.22,16.23,2.7,15.07,15.56,4.4,5.11,
2023-24,Algebra II,Math,Foundation Core,95,964,18001,18.67,18.74,18.92,13.12,23.81,16.21,2.46,15.1,15.56,4.01,4.34,
2023-24,Biology,Science,Foundation Core,102,1859,30606,16.46,17.34,17.64,13.25,21.41,16.24,0.22,14.56,15.42,2.92,2.42,
2023-24,Chemistry,Science,Foundation Core,89,928,17455,18.81,19.15,20.2,15.54,22.5,16.14,2.67,15.5,15.77,3.77,4.29,
2023-24,Advanced Mathematics,Math,Advanced / Specialized,89,793,13605,17.16,15.55,16.0,9.5,22.45,16.15,1.0,15.29,15.74,0.27,0.42,
2023-24,Physics,Science,Advanced / Specialized,80,494,8233,16.67,15.21,17.0,8.19,21.04,15.89,0.78,15.35,15.76,-0.11,-0.24,
2023-24,Calculus,Math,Advanced / Specialized,58,187,3184,17.03,16.14,16.43,11.5,20.67,15.77,1.25,15.45,15.77,0.71,0.75,
