school_year,state,grain,coverage_tier,pct_enrollment_valid,reporting_entities_count,total_expected_entities,total_enrollment,total_teacher_fte,student_weighted_ptr,median_ptr,p25_ptr,p75_ptr,total_para_fte,combined_teacher_para_ratio,teachers_per_1000,paras_per_1000,is_primary_trend_eligible,notes
2014-2015,KS,School_Regular,complete,100.0,252,253,143204,9129.2,15.69,15.53,14.32,17.08,,,63.75,,True,Regular operating schools in KS
2015-2016,KS,School_Regular,insufficient_coverage,76.72,196,252,110220,7166.6,15.38,15.3,14.26,16.54,,,65.02,,False,Insufficient coverage (76.8%): Olathe and Gardner Edgerton schools suppressed
2016-2017,KS,School_Regular,complete,100.0,249,249,144394,9371.7,15.41,15.14,13.84,16.38,,,64.9,,True,Regular operating schools in KS
2017-2018,KS,School_Regular,complete,100.0,255,255,146424,9638.63,15.19,14.88,13.48,16.06,,,65.83,,True,Regular operating schools in KS
2018-2019,KS,School_Regular,high_coverage,99.77,255,258,145856,9736.91,14.98,14.62,13.34,16.16,,,66.76,,True,Regular operating schools in KS
2019-2020,KS,School_Regular,high_coverage,99.75,255,257,147043,9775.39,15.04,14.96,13.42,16.24,,,66.48,,True,Regular operating schools in KS
2020-2021,KS,School_Regular,high_coverage,99.88,255,256,140917,9503.51,14.83,14.34,12.58,16.13,,,67.44,,True,Regular operating schools in KS
2021-2022,KS,School_Regular,high_coverage,99.92,258,259,141565,9986.27,14.18,13.81,12.38,15.32,,,70.54,,True,Regular operating schools in KS
2022-2023,KS,School_Regular,high_coverage,99.93,258,259,143146,9896.08,14.46,13.9,12.69,15.24,,,69.13,,True,Regular operating schools in KS
2023-2024,KS,School_Regular,high_coverage,99.87,260,261,141413,9763.85,14.48,14.0,12.66,15.32,,,69.04,,True,Regular operating schools in KS
2024-2025,KS,School_Regular,high_coverage,99.95,260,261,141217,9977.49,14.15,13.7,12.42,15.04,,,70.65,,True,Regular operating schools in KS
