crdc_wave,course_code,course_name,num_schools,num_classes,num_enrolled,cw_mean_size,cw_school_ptr,raw_allocation_wedge,exp_size_6of7,resid_6of7,exp_size_6of8,resid_6of8,exp_size_5of7,resid_5of7,unweighted_median_size,unweighted_median_ptr,unweighted_median_wedge
2021-22,phys,Physics,76,428,7114,16.62,16.45,0.17,19.2,-2.57,21.94,-5.32,23.03,-6.41,16.0,16.26,-0.77
2023-24,ALL_COURSES,All Science & Math Courses,102,7707,136356,17.69,16.16,1.54,18.85,-1.16,21.54,-3.85,22.62,-4.93,18.12,15.71,2.88
2023-24,CORE_MATH,"Core Math (Algebra I, Geometry, Algebra II)",102,3473,63682,18.34,16.18,2.16,18.88,-0.54,21.57,-3.24,22.65,-4.32,19.0,15.49,4.18
2023-24,alg1,Algebra I,99,1312,23032,17.55,16.17,1.39,18.86,-1.31,21.56,-4.0,22.64,-5.08,18.14,15.42,3.86
2023-24,geom,Geometry,96,1209,22859,18.91,16.2,2.71,18.9,0.01,21.6,-2.69,22.68,-3.77,19.37,15.52,5.01
2023-24,alg2,Algebra II,90,952,17791,18.69,16.18,2.51,18.87,-0.18,21.57,-2.88,22.65,-3.96,19.6,15.52,4.26
2023-24,advm,Advanced Mathematics,87,786,13508,17.19,16.13,1.05,18.82,-1.64,21.51,-4.32,22.59,-5.4,16.1,15.73,0.46
2023-24,calc,Calculus,57,185,3154,17.05,15.77,1.28,18.4,-1.35,21.03,-3.98,22.08,-5.03,16.5,15.77,0.75
2023-24,bio,Biology,98,1849,30462,16.47,16.26,0.22,18.96,-2.49,21.67,-5.2,22.76,-6.28,17.84,15.46,2.45
2023-24,chem,Chemistry,86,922,17333,18.8,16.12,2.68,18.81,-0.01,21.5,-2.7,22.57,-3.77,20.05,15.76,4.32
2023-24,phys,Physics,78,492,8217,16.7,15.85,0.85,18.49,-1.79,21.14,-4.43,22.19,-5.49,17.0,15.74,-0.11
