school_year,nces_lea_id,district_name,state,county_primary,enrollment_k12,teachers_k12_fte,students_per_teacher_fte_k12,teachers_k12_per_1000,paraprofessionals_per_1000,counselors_per_1000,school_administrators_per_1000,crdc_enrollment,idea_count,sec504_count,lep_count,accommodations_count,chronic_absent_count,schools_count,idea_pct,sec504_pct,accommodations_pct,lep_pct,chronic_absent_pct
2023-2024,2910320,SHERWOOD CASS R-VIII,MO,Cass County,738,59.0,12.51,79.95,30.09,4.07,4.07,736.0,151.0,14.0,0.0,165.0,0.0,3,20.516304347826086,1.9021739130434785,22.418478260869566,0.0,
2015-2016,2928410,SMITHVILLE R-II,MO,Clay County,2587,160.14,16.15,61.9,16.58,2.24,3.4,2616.0,283.0,45.0,6.0,328.0,0.0,4,10.818042813455657,1.7201834862385321,12.538226299694188,0.22935779816513763,
2017-2018,2928410,SMITHVILLE R-II,MO,Clay County,2591,160.59,16.13,61.98,16.79,2.28,3.78,2636.0,307.0,66.0,3.0,373.0,0.0,4,11.646433990895295,2.503793626707132,14.150227617602429,0.11380880121396054,
2020-2021,2928410,SMITHVILLE R-II,MO,Clay County,2611,171.04,15.27,65.51,14.36,2.64,3.75,2817.0,262.0,35.0,10.0,297.0,228.0,5,9.300674476393327,1.2424565140220092,10.543130990415335,0.3549875754348598,8.093716719914804
2023-2024,2928410,SMITHVILLE R-II,MO,Clay County,2509,177.59,14.13,70.78,16.74,3.15,4.72,2512.0,181.0,122.0,8.0,303.0,0.0,5,7.205414012738853,4.856687898089172,12.062101910828025,0.3184713375796179,
2015-2016,2929670,STRASBURG C-3,MO,Cass County,156,12.0,13.0,76.92,0.0,0.0,0.0,120.0,20.0,2.0,2.0,22.0,0.0,1,16.666666666666664,1.6666666666666667,18.333333333333332,1.6666666666666667,
2017-2018,2929670,STRASBURG C-3,MO,Cass County,118,13.0,9.08,110.17,0.0,0.0,0.0,120.0,22.0,1.0,0.0,23.0,7.0,1,18.333333333333332,0.8333333333333334,19.166666666666668,0.0,5.833333333333333
2020-2021,2929670,STRASBURG C-3,MO,Cass County,119,12.75,9.33,107.14,0.0,0.0,0.0,120.0,13.0,1.0,0.0,14.0,17.0,1,10.833333333333334,0.8333333333333334,11.666666666666666,0.0,14.166666666666666
2023-2024,2929670,STRASBURG C-3,MO,Cass County,134,13.83,9.69,103.21,0.0,7.46,1.27,134.0,18.0,4.0,0.0,22.0,0.0,1,13.432835820895523,2.9850746268656714,16.417910447761194,0.0,
2015-2016,2000018,School for Blind,KS,Wyandotte County,37,10.8,3.43,291.89,0.0,0.0,0.0,44.0,25.0,0.0,0.0,25.0,0.0,2,56.81818181818182,0.0,56.81818181818182,0.0,
2017-2018,2000018,School for Blind,KS,Wyandotte County,20,7.0,2.86,350.0,0.0,0.0,0.0,22.0,21.0,0.0,0.0,21.0,1.0,2,95.45454545454545,0.0,95.45454545454545,0.0,4.545454545454546
2020-2021,2000018,School for Blind,KS,Wyandotte County,32,11.23,2.85,350.94,0.0,0.0,0.0,80.0,78.0,0.0,0.0,78.0,20.0,2,97.5,0.0,97.5,0.0,25.0
2023-2024,2000018,School for Blind,KS,Wyandotte County,29,53.0,0.55,1827.59,0.0,0.0,34.48,40.0,38.0,0.0,1.0,38.0,0.0,2,95.0,0.0,95.0,2.5,
2015-2016,2000019,School for Deaf,KS,Johnson County,97,27.7,3.5,285.57,0.0,0.0,20.62,117.0,114.0,0.0,0.0,114.0,0.0,2,97.43589743589743,0.0,97.43589743589743,0.0,
2017-2018,2000019,School for Deaf,KS,Johnson County,95,26.7,3.56,281.05,0.0,0.0,21.05,130.0,126.0,0.0,0.0,126.0,31.0,2,96.92307692307692,0.0,96.92307692307692,0.0,23.846153846153847
2020-2021,2000019,School for Deaf,KS,Johnson County,96,29.0,3.31,302.08,0.0,0.0,20.83,131.0,131.0,0.0,0.0,131.0,138.0,2,100.0,0.0,100.0,0.0,105.34351145038168
2023-2024,2000019,School for Deaf,KS,Johnson County,115,25.5,4.51,221.74,0.0,0.0,17.39,135.0,135.0,0.0,0.0,135.0,0.0,2,100.0,0.0,100.0,0.0,
2015-2016,2011640,Shawnee Mission Pub Sch,KS,Johnson County,27275,1731.8,15.75,63.49,12.06,0.97,2.49,27660.0,2008.0,383.0,3280.0,2391.0,0.0,43,7.259580621836586,1.3846710050614606,8.644251626898047,11.85827910339841,
2017-2018,2011640,Shawnee Mission Pub Sch,KS,Johnson County,26895,1733.2,15.52,64.44,12.26,0.82,3.08,27100.0,2355.0,704.0,2865.0,3059.0,4587.0,43,8.690036900369003,2.5977859778597785,11.287822878228782,10.571955719557195,16.92619926199262
2020-2021,2011640,Shawnee Mission Pub Sch,KS,Johnson County,25520,1792.85,14.23,70.25,21.05,1.25,3.62,25561.0,2428.0,701.0,2400.0,3129.0,11328.0,44,9.498845898047808,2.7424592152106726,12.24130511325848,9.389304017839677,44.31751496420328
2023-2024,2011640,Shawnee Mission Pub Sch,KS,Johnson County,25687,1867.29,13.76,72.69,21.91,1.4,3.72,25411.0,2773.0,1278.0,2007.0,4051.0,0.0,44,10.912596906851364,5.029318011884617,15.94191491873598,7.898154342607532,
2015-2016,2011850,Spring Hill,KS,Johnson County,3566,206.0,17.31,57.77,22.69,1.96,2.8,4035.0,563.0,118.0,30.0,681.0,0.0,7,13.952912019826519,2.9244114002478314,16.87732342007435,0.7434944237918215,
2017-2018,2011850,Spring Hill,KS,Johnson County,3910,229.85,17.01,58.79,16.96,0.51,2.3,4007.0,651.0,117.0,38.0,768.0,441.0,7,16.246568505116045,2.9198901921637135,19.166458697279758,0.9483404042924881,11.005739955078612
2020-2021,2011850,Spring Hill,KS,Johnson County,5744,324.75,17.69,56.54,12.31,2.26,2.79,5845.0,909.0,173.0,51.0,1082.0,936.0,9,15.551753635585971,2.959794696321642,18.511548331907612,0.872540633019675,16.013686911890503
2023-2024,2011850,Spring Hill,KS,Johnson County,5498,347.52,15.82,63.21,10.8,2.36,3.46,5647.0,941.0,174.0,82.0,1115.0,0.0,11,16.66371524703382,3.0812820966885073,19.744997343722332,1.4520984593589517,
2015-2016,2012210,Tonganoxie,KS,Leavenworth County,1947,151.9,12.82,78.02,22.6,2.05,2.82,1936.0,235.0,65.0,22.0,300.0,0.0,3,12.138429752066116,3.3574380165289255,15.495867768595042,1.1363636363636365,
2017-2018,2012210,Tonganoxie,KS,Leavenworth County,1951,137.4,14.2,70.43,21.42,2.56,3.59,1941.0,274.0,49.0,22.0,323.0,237.0,3,14.116434827408552,2.5244719216898504,16.640906749098402,1.1334363730036066,12.210200927357032
2020-2021,2012210,Tonganoxie,KS,Leavenworth County,1833,150.23,12.2,81.96,23.9,2.73,3.82,1855.0,257.0,26.0,44.0,283.0,571.0,3,13.854447439353098,1.4016172506738545,15.256064690026955,2.371967654986523,30.78167115902965
2023-2024,2012210,Tonganoxie,KS,Leavenworth County,1901,153.03,12.42,80.5,22.99,3.16,3.68,1890.0,256.0,42.0,43.0,298.0,0.0,3,13.544973544973546,2.2222222222222223,15.76719576719577,2.2751322751322753,
2015-2016,2012360,Turner-Kansas City,KS,Wyandotte County,4037,256.6,15.73,63.56,18.08,2.48,3.72,4159.0,436.0,36.0,969.0,472.0,0.0,7,10.483289252224093,0.8655926905506132,11.348881942774705,23.298869920654003,
2017-2018,2012360,Turner-Kansas City,KS,Wyandotte County,3986,263.2,15.14,66.03,14.43,2.51,5.02,4156.0,638.0,33.0,934.0,671.0,1011.0,7,15.351299326275264,0.7940327237728586,16.145332050048122,22.473532242540905,24.326275264677573
2020-2021,2012360,Turner-Kansas City,KS,Wyandotte County,3703,263.1,14.07,71.05,14.31,2.43,5.13,3867.0,544.0,18.0,795.0,562.0,4257.0,7,14.067752779932766,0.46547711404189296,14.533229893974658,20.55857253685027,110.08533747090767
2023-2024,2012360,Turner-Kansas City,KS,Wyandotte County,3697,275.42,13.42,74.5,12.14,2.98,5.41,3648.0,468.0,61.0,608.0,529.0,0.0,8,12.828947368421053,1.6721491228070176,14.501096491228072,16.666666666666664,
2015-2016,2900027,UNIVERSITY ACADEMY,MO,Jackson County,1003,73.0,13.74,72.78,5.98,2.99,6.98,1003.0,40.0,33.0,2.0,73.0,0.0,3,3.988035892323031,3.290129611166501,7.2781655034895305,0.19940179461615154,
2017-2018,2900027,UNIVERSITY ACADEMY,MO,Jackson County,1100,76.0,14.47,69.09,5.45,1.82,7.27,1101.0,49.0,43.0,9.0,92.0,95.0,3,4.450499545867393,3.905540417801998,8.35603996366939,0.8174386920980926,8.628519527702089
2020-2021,2900027,UNIVERSITY ACADEMY,MO,Jackson County,1089,77.4,14.07,71.07,1.84,1.93,7.35,1105.0,36.0,60.0,15.0,96.0,0.0,3,3.2579185520361995,5.429864253393665,8.687782805429864,1.3574660633484164,
2023-2024,2900027,UNIVERSITY ACADEMY,MO,Jackson County,1072,75.5,14.2,70.43,7.46,2.57,5.36,1094.0,46.0,65.0,12.0,111.0,0.0,3,4.204753199268739,5.941499085923217,10.146252285191956,1.0968921389396709,
2015-2016,2931710,WEST PLATTE CO. R-II,MO,Platte County,545,59.53,9.16,109.23,9.03,3.27,5.27,605.0,34.0,8.0,4.0,42.0,0.0,2,5.619834710743802,1.322314049586777,6.9421487603305785,0.6611570247933884,
2017-2018,2931710,WEST PLATTE CO. R-II,MO,Platte County,604,59.58,10.14,98.64,12.3,2.98,4.74,654.0,64.0,0.0,2.0,64.0,64.0,2,9.785932721712538,0.0,9.785932721712538,0.3058103975535168,9.785932721712538
2020-2021,2931710,WEST PLATTE CO. R-II,MO,Platte County,618,59.57,10.37,96.39,9.71,3.01,6.02,667.0,61.0,12.0,2.0,73.0,115.0,2,9.145427286356822,1.7991004497751124,10.944527736131935,0.29985007496251875,17.24137931034483
2023-2024,2931710,WEST PLATTE CO. R-II,MO,Platte County,677,61.86,10.94,91.37,16.25,4.43,7.18,700.0,74.0,0.0,4.0,74.0,0.0,3,10.571428571428571,0.0,10.571428571428571,0.5714285714285714,
2015-2016,REGIONAL_TOTAL,METRO REGIONAL TOTAL,MO/KS,9-County Region,324422,21639.28,14.992273310387407,66.70102520790822,13.373560486033623,2.070556774817984,3.1820271128345183,323393.0,34233.0,6552.0,27968.0,40785.0,0.0,609,10.58557235314308,2.0260178791748737,12.611590232317955,8.648300983632918,
2017-2018,REGIONAL_TOTAL,METRO REGIONAL TOTAL,MO/KS,9-County Region,328459,22903.910000000003,14.340739201297943,69.73141244417113,15.774919091880571,2.3495876197638066,3.4977831631954066,329600.0,37869.0,8770.0,29942.0,46639.0,38018.0,624,11.489381067961164,2.6608009708737868,14.150182038834952,9.084344660194175,11.534587378640778
2020-2021,REGIONAL_TOTAL,METRO REGIONAL TOTAL,MO/KS,9-County Region,322818,23549.789999999997,13.707892936624914,72.9506718956192,15.95494780340625,2.4866151205942666,4.0570264049712215,324020.0,39561.0,9518.0,27362.0,49079.0,97373.0,650,12.209431516573051,2.937472995494105,15.146904512067156,8.444540460465404,30.05154002839331
2023-2024,REGIONAL_TOTAL,METRO REGIONAL TOTAL,MO/KS,9-County Region,320725,23804.679999999997,13.473190985974188,74.22146698885338,16.289123142879415,2.9269612596461148,4.342972203601216,322767.0,40271.0,12712.0,30066.0,52983.0,0.0,667,12.476802151397138,3.938444760461881,16.41524691185902,9.315078679047115,
