school_year,nces_lea_id,district_name,state,county_primary,enrollment_k12,teachers_k12_fte,students_per_teacher_fte_k12,teachers_k12_per_1000,paraprofessionals_per_1000,counselors_per_1000,school_administrators_per_1000,crdc_enrollment,idea_count,sec504_count,lep_count,accommodations_count,chronic_absent_count,schools_count,idea_pct,sec504_pct,accommodations_pct,lep_pct,chronic_absent_pct
2015-2016,2010680,Piper-Kansas City,KS,Wyandotte County,2018,117.6,17.16,58.28,6.69,1.98,2.97,2114.0,140.0,25.0,84.0,165.0,0.0,4,6.622516556291391,1.1825922421948913,7.805108798486282,3.9735099337748347,
2017-2018,2010680,Piper-Kansas City,KS,Wyandotte County,2255,136.0,16.58,60.31,11.97,2.22,3.55,2365.0,205.0,47.0,73.0,252.0,192.0,4,8.668076109936575,1.9873150105708246,10.6553911205074,3.0866807610993656,8.118393234672304
2020-2021,2010680,Piper-Kansas City,KS,Wyandotte County,2482,164.2,15.12,66.16,8.66,2.42,4.03,2574.0,250.0,65.0,135.0,315.0,954.0,4,9.712509712509712,2.525252525252525,12.237762237762238,5.244755244755245,37.06293706293706
2023-2024,2010680,Piper-Kansas City,KS,Wyandotte County,2644,184.0,14.37,69.59,10.36,3.4,4.92,2689.0,337.0,85.0,244.0,422.0,0.0,4,12.532539977686872,3.161026403867609,15.69356638155448,9.074005206396428,
2015-2016,2923730,RAYMORE-PECULIAR R-II,MO,Cass County,5932,389.98,15.21,65.74,11.59,2.53,3.37,5764.0,437.0,216.0,55.0,653.0,0.0,9,7.581540596807772,3.747397640527411,11.328938237335183,0.9541984732824428,
2017-2018,2923730,RAYMORE-PECULIAR R-II,MO,Cass County,6080,397.46,15.3,65.37,11.51,2.61,3.36,6198.0,584.0,276.0,44.0,860.0,569.0,11,9.422394320748628,4.453049370764763,13.875443691513393,0.7099064214262665,9.180380767989673
2020-2021,2923730,RAYMORE-PECULIAR R-II,MO,Cass County,6185,428.86,14.42,69.34,10.9,2.57,3.47,6508.0,616.0,236.0,101.0,852.0,253.0,11,9.465273509526737,3.6263060848186845,13.09157959434542,1.5519360786724032,3.887523048555624
2023-2024,2923730,RAYMORE-PECULIAR R-II,MO,Cass County,6148,434.12,14.16,70.61,10.35,2.93,3.82,5960.0,517.0,421.0,136.0,938.0,0.0,12,8.674496644295301,7.0637583892617455,15.738255033557047,2.2818791946308723,
2015-2016,2926070,RAYTOWN C-2,MO,Jackson County,9001,622.5,14.46,69.16,20.5,2.89,3.22,9754.0,1346.0,0.0,325.0,1346.0,0.0,19,13.799466885380356,0.0,13.799466885380356,3.3319663727701454,
2017-2018,2926070,RAYTOWN C-2,MO,Jackson County,8705,628.76,13.84,72.23,20.37,3.1,3.45,9447.0,1286.0,193.0,388.0,1479.0,1329.0,20,13.612787128188844,2.042976606330052,15.655763734518896,4.107123954694612,14.06795808193077
2020-2021,2926070,RAYTOWN C-2,MO,Jackson County,7832,607.47,12.89,77.56,20.3,3.05,3.96,8589.0,1393.0,221.0,484.0,1614.0,559.0,19,16.21841890790546,2.5730585632786123,18.791477471184074,5.6351146815694495,6.508324601234136
2023-2024,2926070,RAYTOWN C-2,MO,Jackson County,7740,554.6,13.96,71.65,18.96,3.35,4.26,7646.0,1104.0,232.0,528.0,1336.0,0.0,18,14.438922312320168,3.034266283023803,17.473188595343974,6.905571540674862,
2015-2016,2926480,RICHMOND R-XVI,MO,Ray County,1553,104.3,14.89,67.16,8.58,3.22,3.86,1608.0,185.0,26.0,2.0,211.0,0.0,4,11.50497512437811,1.616915422885572,13.121890547263682,0.12437810945273632,
2017-2018,2926480,RICHMOND R-XVI,MO,Ray County,1456,104.35,13.95,71.67,10.3,3.43,4.12,1588.0,117.0,32.0,2.0,149.0,122.0,4,7.367758186397985,2.0151133501259446,9.382871536523929,0.12594458438287154,7.682619647355164
2020-2021,2926480,RICHMOND R-XVI,MO,Ray County,1405,106.3,13.22,75.66,12.03,2.85,4.27,1499.0,151.0,0.0,1.0,151.0,329.0,4,10.073382254836558,0.0,10.073382254836558,0.06671114076050699,21.947965310206804
2023-2024,2926480,RICHMOND R-XVI,MO,Ray County,1472,113.25,13.0,76.94,19.59,3.33,4.01,1558.0,186.0,32.0,1.0,218.0,0.0,4,11.938382541720154,2.053915275994865,13.992297817715018,0.06418485237483953,
2015-2016,2900019,SCUOLA VITA NUOVA,MO,Jackson County,202,19.9,10.15,98.51,9.9,4.95,9.9,214.0,4.0,2.0,149.0,6.0,0.0,1,1.8691588785046727,0.9345794392523363,2.803738317757009,69.62616822429906,
2017-2018,2900019,SCUOLA VITA NUOVA,MO,Jackson County,253,24.0,10.54,94.86,7.91,3.16,11.07,253.0,13.0,1.0,167.0,14.0,55.0,1,5.138339920948617,0.3952569169960474,5.533596837944664,66.00790513833992,21.73913043478261
2020-2021,2900019,SCUOLA VITA NUOVA,MO,Jackson County,335,26.0,12.88,77.61,11.94,0.0,5.97,335.0,13.0,6.0,185.0,19.0,62.0,1,3.880597014925373,1.791044776119403,5.6716417910447765,55.223880597014926,18.507462686567163
2023-2024,2900019,SCUOLA VITA NUOVA,MO,Jackson County,391,27.2,14.38,69.57,2.56,0.0,7.67,390.0,32.0,4.0,226.0,36.0,0.0,1,8.205128205128204,1.0256410256410255,9.230769230769232,57.948717948717956,
2015-2016,2910320,SHERWOOD CASS R-VIII,MO,Cass County,809,60.29,13.42,74.52,24.72,3.71,3.71,814.0,111.0,2.0,0.0,113.0,0.0,3,13.636363636363635,0.2457002457002457,13.882063882063884,0.0,
2017-2018,2910320,SHERWOOD CASS R-VIII,MO,Cass County,790,60.44,13.07,76.51,22.42,3.8,3.8,836.0,121.0,10.0,0.0,131.0,72.0,3,14.473684210526317,1.1961722488038278,15.669856459330145,0.0,8.61244019138756
2020-2021,2910320,SHERWOOD CASS R-VIII,MO,Cass County,760,60.01,12.66,78.96,28.57,3.95,3.95,752.0,134.0,8.0,0.0,142.0,275.0,3,17.819148936170212,1.0638297872340425,18.882978723404257,0.0,36.569148936170215
